HTR4	GNAS
GNAS	SRC
SRC	HRAS
HRAS	JUN
GNAS	GNB5
GNB5	MAPK1
MAPK1	TP53
SRC	STAT3
STAT3	ESR1
STAT3	STAT1
SRC	RAC1
RAC1	NFKB1
MAPK1	ELK4
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	NFATC1
NFATC1	SRF
SRC	PIK3R5
PIK3R5	HIF1A
PRKACA	PAX8
PRKACA	CREB1
HTR2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	ESR1
MAPK1	STAT1
HRAS	RAF1
RAF1	NFKB1
MAPK1	ETS1
ETS1	SRF
HRAS	PIK3R5
GNAQ	PLCB1
PLCB1	PRKCA
PRKCA	PAX8
MAPK1	CREB1
MAPK1	STAT3
NR3C2	ATP1A3
GLI3	PTCH1
SOS1	CCND3
SOS2	SPRY3
LEF1	PPARD
TCF7	MMP7
TCF7	PPARD
TCF7L1	FOSL1
CEBPA	TWF2
MYB	TSC22D3
USF1	CTSB
NFIC	CYP17A1
MYC	EIF4E
PAX5	FCER2
CEBPA	FN1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RARB	HDAC1
RELA	HDAC1
RELA	HDAC2
POU2F1	HIST2H2BE
FOS	HLA-DRA
ETS1	IL5
ETV4	MMP9
