HRH1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
HRAS	JUN
MAPK1	MYC
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
MAPK1	TP53
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
HRAS	FOS
MAPK1	CREB1
MAPK1	ELK1
MAPK1	ETS1
MAPK1	STAT3
MAPK1	STAT1
MAPK1	CREB3
MAPK1	CREB3L2
MAPK1	CREB3L1
LEF1	MYC
TCF7	BIRC5
TCF7	CCND1
TCF7L2	MYC
RBPJL	MYC
RBPJ	MYC
CREB1	PCNA
ATF6B	IL8
CREBBP	CDKN1A
CREBBP	ENO1
EP300	CDKN1A
EP300	ENO1
HIF1A	CDKN1A
HIF1A	ENO1
TEAD1	SOX2
TEAD3	CTGF
HNF1A	FOXA3
MAPK3	CDK4
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
MYD88	IFNA13
MYD88	IFNA14
MAPK1	IL18
USF2	ABCA1
USF1	CCNB1
USF2	CCNB1
SP3	CD14
USF2	CEACAM6
ATF1	CGA
NFKB1	COL1A1
RELA	COL1A1
SP1	COL1A1
SP3	COL2A1
SP1	EGFR
JUND	F3
TFAP2A	HMOX1
EGR1	PLAU
ETS2	PLAU
RARA	PLAU
ATF1	PLAUR
CREB1	PTGS2
REL	PTGS2
SP1	RPL10
RARA	S100A8
ETS2	SPP1
POU2F1	SPP1
JUND	TIMP1
STAT1	TIMP1
NFKB1	TP53
STAT1	TP53
