CYSLTR1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	TP53
HRAS	RAF1
RAF1	NFKB1
HRAS	JUN
MAPK1	SMAD2
SMAD2	SP1
MAPK1	MYC
MAPK1	ETS1
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
GNAQ	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
HRAS	FOS
HRAS	MAPK14
MAPK14	MAX
MAPK1	ESR1
MAPK1	STAT3
MAPK1	ELK1
ELK1	EGR1
HRAS	PIK3R5
PIK3R5	HIF1A
MAPK1	CREB1
NFKB1	MYB
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HIF1A	ARNT
ALOX5	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
PRKCA	RAF1
PRKCA	HRAS
SMAD2	YAP1
PRKCA	FOS
PRKCA	MTOR
MTOR	HIF1A
PRKCA	CREB1
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER3
CREB1	PER2
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORB
ARNTL	RORC
CREB3	PCNA
CREB3L1	PCNA
CREBBP	VEGFB
EP300	VEGFB
HIF1A	TIMP1
ARNT	EDN1
YAP1	ID2
YAP1	ID3
YAP1	AXIN1
YAP1	AXIN2
WWTR1	ITGB2
WWTR1	AREG
TEAD4	AXIN1
CREBBP	MITF
MITF	TYRP1
RELA	PTGS2
RELB	CCL19
PIK3CB	AKT2
PIK3CD	AKT3
PIK3R1	PDPK1
RXRA	ACADL
NFYA	HLA-DQA1
NFYC	HLA-DQA2
RFX5	LOC100507709
RFX5	HLA-DQA1
RFXAP	LOC100507714
MYB	TSC22D3
MYBL1	TSC22D3
PPARG	SAT1
SP1	ADA
SP3	CD14
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
SP1	CDKN1A
SP1	EGFR
PAX5	FCER2
CEBPA	FN1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
ETS1	FOSL1
POU2F1	HIST2H2BE
FOS	HLA-DRA
MYC	NME1
TP53	NME1
JUN	NPPA
FOS	NQO1
HIF1A	NR4A1
RELA	NR4A1
CREB1	NRAS
JUN	NRAS
SP1	RELA
USF2	SP1
FOS	TIMP1
HIF1A	TP53
