AGTR1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
HRAS	JUN
HRAS	RAF1
RAF1	NFKB1
MAPK1	ELK1
ELK1	EGR1
MAPK1	MYC
MYC	ZBTB17
MYC	PIAS2
MAPK1	CREB1
MAPK1	ETS1
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
ETS1	SPI1
MAPK1	TP53
JUN	MAPK8
MAPK8	SMAD3
SMAD3	SP1
JUN	NFKB1
MAPK8	ELK1
JUN	CCND1
CCND1	RBL1
RBL1	MYC
NFKB1	NOS3
NOS3	CREB1
ELK1	ETS1
NFKB1	HIF1A
HIF1A	CREBBP
HIF1A	EP300
ELK1	SPI1
NFKB1	TP53
GLI3	BMP4
NFKB1	TNF
CREBBP	SERPINE1
SOS1	SPRY3
CREB3L4	MITF
RELA	TRAF1
PIK3CD	PDPK1
TP53	PERP
RXRA	APOC3
RXRA	ILK
RXRA	ACSL5
MYB	TSC22D3
MYBL1	TSC22D3
USF2	ABCA1
MYC	CCNB1
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
CREB1	F3
USF1	FBP1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
ESR1	FOS
ESR2	FOS
ETS2	FOS
PPARG	MMP9
PPARA	SERPINE1
JUN	TFRC
