DRD2	GNAI1
GNAI1	PIK3R5
PIK3R5	HIF1A
GNAI1	MAPK1
MAPK1	NFKB1
MAPK1	RELA
MAPK1	TP53
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
MAPK1	FOXO3
GNAI1	HRAS
HRAS	JUN
GNAI1	RAPGEF3
RAPGEF3	PRKACA
PRKACA	XBP1
XBP1	CEBPA
MAPK1	SMAD2
SMAD2	SP1
CHRM3	GNG12
GNG12	PIK3R5
GNG12	MAPK1
CHRM3	GNAQ
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
GNAQ	HRAS
CHRM3	GNAS
GNAS	ADCY1
ADCY1	PRKACA
GLI3	WNT16
TP53	GADD45G
RBPJ	FCER2
CTNNB1	CCND2
CTNNB1	CCND3
MAPK10	SMAD4
RELA	IL6
CREBBP	PFKFB4
CREBBP	PFKL
EP300	PFKFB4
EP300	PFKL
STAT5A	MYC
STAT6	SOCS7
NFKB1	FIGF
RXRG	EHHADH
IRF7	IFNA8
MYD88	IFNA21
MAPK10	IL23A
MAPK13	IL1B
MAPK13	IL18
SP1	CAV1
TFAP2A	CDKN1A
JUN	MMP7
BCL3	NFKB2
PPARG	PTGS2
USF2	PTGS2
MYC	PTMA
POU2F1	SFTPA1
NFIC	SFTPC
CREM	TH
HOXA4	TH
SMAD3	TNNC1
SMAD4	TNNC1
