DRD2	GNAI1
GNAI1	RAPGEF3
RAPGEF3	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
GNAI1	HRAS
HRAS	JUN
GNAI1	MAPK1
MAPK1	ETS1
MAPK1	CREB1
MAPK1	MYC
MAPK1	NFKB1
HRAS	FOS
MAPK1	RELA
MAPK1	CREB3
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	TP53
GNAI1	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
MAPK1	SMAD2
SMAD2	E2F4
SMAD2	SP1
CHRM3	GNAS
GNAS	ADCY1
ADCY1	PRKACA
CHRM3	GNAQ
GNAQ	HRAS
CHRM3	GNG12
GNG12	MAPK1
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
TCF7	CCND1
TCF7L2	MYC
RBPJL	MYC
RBPJ	MYC
MAPK9	SMAD4
CREBBP	PFKFB2
FOXO1	PCK1
STAT2	PIM1
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT3	SOCS4
STAT3	SOCS1
NFKB1	CCL4L2
NFKB1	PTGS2
RELA	PTGS2
RELB	CCL13
RELB	CCL19
PIK3CA	AKT1
PIK3CD	AKT3
PIK3R1	AKT3
PIK3R1	PDPK1
RBPJL	PTCRA
RXRG	FABP3
IRF7	IFNA14
NFKB1	IL23A
MAPK10	IL12B
RFXANK	HLA-DRB5
RFXANK	CD74
CREB3	AQP2
CREB3L4	AQP2
NFKB1	COL1A1
RELA	COL1A1
SP1	COL1A1
EGR1	COL2A1
SP3	COL2A1
ETS1	DNTT
TFAP2A	GH2
USF1	GH2
USF2	GH2
TFAP2A	HMOX1
RARA	PLAU
ATF1	PLAUR
CREB1	PTGS2
REL	PTGS2
USF2	SERPINE1
ATF1	TH
