CREB5	ARC
RELA	BIRC8
GLI1	WNT4
GLI1	WNT7A
GLI1	WNT9B
GLI2	BMP2
MAPK11	IL8
RBPJL	FCER2
CREB3	PCNA
ATF4	IL8
CREB3L1	PCNA
CREBBP	HK2
CREBBP	VEGFB
EP300	HK2
EP300	VEGFB
HIF1A	HK2
STAT4	CCND3
STAT5B	CCND2
TCF7L2	MITF
RXRA	SCD5
RXRA	FADS2
RXRB	ACAA1
NFYA	HLA-DOA
MAPK1	IL6
MAPK8	IL12A
MAPK8	IL12B
HIF1A	HSP90B1
JUN	PLAUR
MYB	CDK1
SP1	COL4A2
SP1	CCND1
ETS1	CD79B
NFKB1	CD83
SP1	CD83
SP3	CD83
EGR1	CD9
USF2	CEACAM5
USF1	CEACAM6
NFIC	CYP17A1
PAX5	FCER2
CEBPA	FN1
ESR1	GADD45B
PPARG	GADD45B
ATF1	GH2
CREB1	GH2
NFIC	GH2
EGR1	JUN
SP1	JUN
TFAP2A	KRT5
PPARA	LIPA
JUN	MAT2A
RARA	MIF
NFKB1	PPP2R4
CEBPB	PTGS2
SP1	RELA
SPI1	SERPINB1
USF2	SP1
JUN	TFPI2
FOS	TIMP1
ELK1	TNF
HIF1A	TP53
POU2F1	TXNRD1
