HTR4	GNAS
GNAS	SRC
SRC	RAC1
RAC1	NFKB1
RAC1	RELA
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	PPARA
SRC	PIK3R5
SRC	PIK3CA
SRC	PIK3CB
SRC	PIK3CD
SRC	PIK3CG
SRC	PIK3R1
SRC	PIK3R2
SRC	PIK3R3
HTR2A	GNAQ
GNAQ	HRAS
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
HRAS	PLCE1
PLCE1	PRKACA
HRAS	PIK3R5
HRAS	PIK3CA
HRAS	PIK3CB
HRAS	PIK3CD
HRAS	PIK3CG
HRAS	PIK3R1
HRAS	PIK3R2
HRAS	PIK3R3
STAT4	CCND3
STAT5A	SOCS4
STAT5B	CCND2
STAT5B	SOCS5
HSF1	HSPA1A
HSF1	HSPA6
MYD88	CXCL3
MYD88	IL12A
ELK4	FOS
HNF4A	SLC2A2
PDX1	NR5A2
NEUROD1	IAPP
USF2	CEACAM5
