ADORA1	GNAI1
GNAI1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
GNAI1	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
GNAI1	HRAS
HRAS	JUN
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK1	SMAD4
SMAD4	LEF1
LEF1	PPARD
MAPK1	CREB1
MAPK1	TP53
MAPK1	NFKB1
MAPK1	RELA
ADORA2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
ADORA2A	GNAS
GNAS	SRC
SRC	CTNNB1
CTNNB1	LEF1
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
PDE4B	ADCY1
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
PRKACA	CTNNB1
PRKACA	CREB1
MAPK8	TP53
PRKACA	RELA
GLI3	HHIP
TCF7L2	MYC
JUN	CCND2
CREB3	PCNA
ATF6B	IL8
CREB3L3	IL8
CREB3L1	PCNA
CREBBP	ENO1
CREBBP	TFRC
CREBBP	VEGFB
EP300	ENO1
EP300	TFRC
EP300	VEGFB
HIF1A	ENO1
STAT5A	SOCS4
STAT5B	SOCS5
HIF1A	TGFB1
JUN	FIGF
CREB1	BCL2
ATF4	BCL2
PPARA	ACOX1
PPARD	ACADL
PPARG	UCP1
RXRA	CYP27A1
MYD88	IFNA13
NFYC	HLA-DMB
NFYC	HLA-DOA
NFYC	HLA-DQA2
USF1	CCNB1
USF2	CCNB1
SP3	COL2A1
USF1	FBP1
CEBPA	FN1
FLI1	MMP9
ATF1	PLAUR
MYBL2	RBL1
SP1	RELA
RARA	S100A8
MYBL2	SP1
USF2	SP1
POU2F1	SPP1
CREB1	TIMP1
FOS	TIMP1
STAT1	TIMP1
MYC	TP53
HIF1A	TP53
STAT1	TP53
