CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	MAPK8
MAPK8	JUN
PRKCE	PPP1CA
PPP1CA	CREB1
PRKCE	ARAF
ARAF	MAPK1
MAPK1	MYC
MAPK8	JUND
MAPK8	ATF2
MAPK1	ETS1
MAPK8	TP53
PRKCE	RAF1
RAF1	RELA
MAPK8	SMAD3
SMAD3	SP1
MAPK8	FOS
RAF1	NFKB1
CEL	DGKK
DGKK	PLCB1
PLCB1	CAMK2A
CAMK2A	STAT1
STAT1	MYD88
CAMK2A	CREBBP
CAMK2A	EP300
PLCB1	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
DGKK	PLCE1
PLCE1	PRKACA
PRKACA	CREM
NR3C2	ATP1A2
NR3C2	ATP1B1
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
MAPK8	JUN
CREBBP	ANGPT4
EP300	ANGPT4
HIF1A	ANGPT4
SOS1	SPRY1
SOS1	SPRED1
CREB1	MITF
CREB3L2	MITF
RXRA	ACADM
RFXAP	LOC100507714
RFXAP	HLA-DMB
RFXANK	HLA-DPA1
RFXANK	HLA-DQA1
SP1	CDKN1C
NFKB1	COL1A1
RELA	COL1A1
SP1	COL1A1
RELA	CSF2
RELA	CSF3
ETS1	CSNK2A1
NFIC	CSNK2A1
NFKB1	CSNK2A1
ETS1	CSNK2B
CEBPB	CSRP1
REL	CSRP1
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
ESR1	GADD45A
POU5F1	GADD45A
CEBPB	IL5
JUN	IL5
WT1	ODC1
NFIC	PCK2
SP1	PDGFB
PPARD	SERPINE1
ATF1	TG
ETS1	TNNC1
PAX1	VHL
