DRD2	FLNA
FLNA	RANBP2
RANBP2	TP53
FLNA	REL
REL	EP300
EP300	ETS1
FLNA	RBM39
RBM39	JUN
HTR2A	CBL
CBL	YWHAZ
YWHAZ	TP53
CBL	GRB2
GRB2	EP300
CBL	SMAD3
SMAD3	JUN
DRD1	RANBP9
RANBP9	ESR1
ESR1	TP53
RANBP9	UBE2I
UBE2I	ETS1
RANBP9	NR3C1
NR3C1	JUN
DRD3	EPB41L1
EPB41L1	COPS5
COPS5	TP53
DRD3	GIPC1
GIPC1	ACTN1
ACTN1	PIAS4
PIAS4	ETS1
COPS5	JUN
DRD4	STUB1
STUB1	TP53
DRD4	GRB2
DRD4	ARRB2
ARRB2	MAP2K4
MAP2K4	JUN
HTR1A	S1PR1
S1PR1	TRIP6
TRIP6	PTK2
PTK2	TP53
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	NCOA3
NCOA3	ETS1
TRIP6	CREB5
CREB5	JUN
HTR1B	MDFI
MDFI	KAT5
KAT5	TP53
KAT5	EP300
MDFI	PIN1
PIN1	JUN
HTR1D	HTR1B
HTR1E	PSMC3
PSMC3	TP53
TP53	ETS1
HTR1E	MEOX2
MEOX2	RELA
RELA	JUN
HTR2C	DLG4
DLG4	ERBB4
ERBB4	TP53
DLG4	ACTN2
ACTN2	SP100
SP100	ETS1
DLG4	MDM2
MDM2	JUN
HTR6	ATM
ATM	TP53
HTR6	CLTC
CLTC	EP300
HTR6	COPS5
HTR7	CUL3
CUL3	YWHAZ
CUL3	DAXX
DAXX	ETS1
CUL3	ATF2
ATF2	JUN
ADRA1B	AP2M1
AP2M1	BCR
BCR	TP53
AP2M1	CLTC
AP2M1	AP1G1
AP1G1	JUN
ADRA2A	UCHL1
UCHL1	TP53
UCHL1	UBE2I
ADRA2A	GNAI2
GNAI2	ITCH
ITCH	JUN
ADRA2B	UCHL1
UBE2I	JUN
ADRA2C	UCHL1
CHRM1	GPRASP2
GPRASP2	TXN
TXN	TP53
GPRASP2	AP1G1
CHRM2	SET
SET	TP53
SET	NR3C1
CHRM3	SET
TP53	DDB2
ETS1	CSNK2B
ETS1	FOSL1
JUN	FOSL1
