PDE4A	SQSTM1
JUP	NFKBIE
NFKBIE	NFKB2
APC	EPAS1
MAPK8	CTNNB1
CTNNB1	PPARD
CDH1	HSP90AA1
MAPK8	REL
REL	RELB
NR3C2	ATP1B1
SMAD2	CDKN1A
SMAD3	CDKN1A
SMAD4	CDKN1A
TP53	CDKN1A
CREBBP	CDKN1A
CREBBP	SERPINE1
EP300	CDKN1A
EP300	SERPINE1
HIF1A	CDKN1A
HIF1A	SERPINE1
ARNT	CDKN1A
ARNT	SERPINE1
YAP1	SERPINE1
SMAD2	SERPINE1
SMAD3	SERPINE1
SMAD4	SERPINE1
MAPK1	CDK4
MAPK3	CDK4
NFKB2	CCL19
NFKB2	CXCL12
RELB	CCL19
RELB	CXCL12
TP53	SERPINE1
TP53	SERPINB5
ETS1	CDK4
FOS	CDK4
JUN	CDK4
MYC	CDK4
PPARG	FABP4
PPARG	PLIN1
PPARG	ADIPOQ
RXRA	FABP4
RXRA	PLIN1
RXRA	ADIPOQ
RXRB	FABP4
RXRB	PLIN1
RXRB	ADIPOQ
RXRG	FABP4
RXRG	PLIN1
RXRG	ADIPOQ
IRF3	CXCL10
IRF3	CXCL9
STAT1	CXCL10
STAT1	CXCL9
HIF1A	ADM
TFAP2A	ADM
SP1	CD14
SP3	CD14
ESR1	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
PPARG	CDKN1A
SP1	CDKN1A
SP3	CDKN1A
TFAP2A	CDKN1A
JUN	GJA1
SP1	GJA1
TFAP2A	KRT14
SP1	MAT2B
SP3	MAT2B
EGR1	SERPINE1
EPAS1	SERPINE1
ESR1	SERPINE1
PPARA	SERPINE1
PPARD	SERPINE1
PPARG	SERPINE1
SP1	SERPINE1
