HTR2A	CBL
CBL	EGFR
EGFR	STAT3
CBL	SMAD3
SMAD3	CEBPB
CBL	GRB2
GRB2	REL
DRD2	PAWR
PAWR	STAT1
STAT1	STAT3
DRD2	CALM1
CALM1	ESR1
ESR1	CEBPB
DRD2	FLNA
FLNA	REL
DRD3	GIPC1
GIPC1	MCM7
MCM7	RB1
RB1	STAT3
RB1	CEBPB
DRD3	RDX
RDX	HSPA4
HSPA4	REL
DRD4	ARRB2
ARRB2	CAPN1
CAPN1	STAT3
ARRB2	MAPK1
MAPK1	CEBPB
DRD4	GRB2
ADRA1B	AP2M1
AP2M1	CLTC
CLTC	EP300
EP300	STAT3
EP300	CEBPB
EP300	REL
HTR1D	HTR1B
HTR1B	MDFI
MDFI	MYOD1
MYOD1	STAT3
HTR1D	S1PR1
S1PR1	WWP2
WWP2	SMAD3
MDFI	PRKAB2
PRKAB2	REL
ADRA2A	GNB1
GNB1	MTOR
MTOR	STAT3
ADRA2A	GNAI2
GNAI2	ITCH
ITCH	SMAD3
GNAI2	NUCB1
NUCB1	REL
ADRA2B	UCHL1
UCHL1	HSP90AA1
HSP90AA1	STAT3
ADRA2B	EIF2B1
EIF2B1	HNRNPL
HNRNPL	HNRNPK
HNRNPK	CEBPB
UCHL1	PARK2
PARK2	REL
ADRA2C	UCHL1
ADRA2C	EIF2B1
HTR2C	DLG4
DLG4	ERBB2
ERBB2	STAT3
HTR2C	CALM1
CALM1	HSPA4
HTR1A	S1PR1
S1PR1	GNAI3
GNAI3	GNB2
GNB2	STAT3
GNAI3	NUCB1
DRD1	RANBP9
RANBP9	ESR1
ESR1	STAT3
RANBP9	APP
APP	MAPK8
MAPK8	REL
CEBPB	CSRP1
REL	CSRP1
STAT3	CSRP1
