GRIN1	SPTAN1
SPTAN1	LMNB1
LMNB1	POU2F1
POU2F1	CREB1
SPTAN1	FANCA
FANCA	HSP90AA1
HSP90AA1	ZBTB17
SPTAN1	MSN
MSN	MAPK8
MAPK8	PIAS2
SPTAN1	ACTA1
ACTA1	CDKN2A
CDKN2A	EGR1
MSN	HSPA4
HSPA4	NFKB1
POU2F1	RELA
MAPK8	JUN
MSN	CTNNB1
CTNNB1	SP1
LMNB1	MBIP
MBIP	MYD88
GRIN2B	DLG3
DLG3	CAMK2A
CAMK2A	CREB1
GRIN2B	FYN
FYN	HSP90AA1
GRIN2B	ARHGAP32
ARHGAP32	AKT1
AKT1	PIAS2
FYN	IL1B
IL1B	EGR1
GRIN2B	DLG1
DLG1	BTRC
BTRC	NFKB1
BTRC	RELA
GRIN2B	DLG4
DLG4	MDM2
MDM2	JUN
BTRC	SP1
MDM2	MYD88
ZBTB17	CDKN2B
NFKB1	CCL5
RELA	CCL5
NFKB1	TNF
RELA	TNF
MYD88	TNF
PIAS2	CDKN2B
EGR1	CCL5
SP1	CDKN2B
JUN	CCL5
JUN	TNF
CREB1	HLA-DRB1
CREB1	SLC9A1
EGR1	TNF
SP1	TNF
