SLC18A1	APOB
APOB	SMAD3
SMAD3	JUN
SMAD3	EP300
EP300	CREB1
SMAD3	SMURF1
SMURF1	NFIC
APOB	VCP
VCP	TP53
EP300	NFKB1
SMAD3	PML
PML	PPARG
SMAD3	LEF1
PML	RXRA
SMAD3	NR3C1
NR3C1	RXRB
SMAD3	CUL1
CUL1	RXRG
PML	RELA
SMAD3	CTNNB1
CTNNB1	PPARD
SMAD3	SP1
GLI3	WNT4
STAT5A	BCL2L1
TCF7L2	CCND1
HIF1A	TGFA
HIF1A	TGFB2
MYC	MMP9
IRF1	IL12A
ATF2	BCL2
PPARA	ACADM
PPARA	ACSL5
PPARG	PCK2
PPARG	ACSBG2
NFYA	HLA-DOA
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	HLA-DRB5
MAPK11	IL23A
EGR1	ABCB1
EGR2	ABCB1
HIF1A	ABCB1
NFKB1	ABCB1
POU5F1	HMGB2
NFKB1	ICAM1
RELA	ICAM1
SPI1	ICAM1
MYC	ID2
RARG	MIF
CEBPA	MMP11
EGR1	TFPI2
REL	TNFSF10
SMAD4	ZFP36
