ABCB1	PIM1
PIM1	HSP90AA1
HSP90AA1	ARNTL
HSP90AA1	NPAS2
PIM1	APP
APP	CSNK1E
CSNK1E	CLOCK
PIM1	MYC
MYC	CEBPB
CYP3A4	HSPA8
HSPA8	UBE3A
UBE3A	ARNTL
HSPA8	HSP90AA1
HSPA8	PPP1CA
PPP1CA	CLOCK
HSPA8	ESR1
ESR1	CEBPB
MLNR	GHRL
GHRL	TBXA2R
TBXA2R	PSME3
PSME3	SIRT1
SIRT1	ARNTL
TBXA2R	RHOA
RHOA	SHMT2
SHMT2	NPAS2
TBXA2R	YWHAZ
YWHAZ	PPP1CC
PPP1CC	CLOCK
TBXA2R	ARRB2
ARRB2	MAPK1
MAPK1	CEBPB
KCNH2	HSP90AA1
KCNH2	HSPA8
KCNH2	YWHAE
YWHAE	NOLC1
NOLC1	CEBPB
CYP51A1	HRAS
HRAS	SNRPE
SNRPE	HSP90AA1
HRAS	TP53
TP53	EP300
EP300	CLOCK
HRAS	RALGDS
RALGDS	CASP8
CASP8	CEBPB
ALB	APP
APP	WDR5
WDR5	ARNTL
ALB	NCOA3
NCOA3	EP300
EP300	NPAS2
APP	GSK3B
GSK3B	CEBPB
GLI3	WNT7B
GLI3	PTCH2
E2F2	CCNE1
LEF1	JUN
CREB1	TG
USF2	THBS1
SMAD4	TIMP1
