ADRA1B	AP2M1
AP2M1	SFPQ
SFPQ	SP1
AP2M1	BCR
BCR	TP53
AP2M1	CLTC
CLTC	EP300
EP300	NFKB1
EP300	HIF1A
AP2M1	EEF1A1
EEF1A1	IKBKG
IKBKG	NFKB2
SFPQ	SP3
AP2M1	HSPA8
HSPA8	RELA
AP2M1	APC
APC	CREBBP
EP300	ARNT
HSPA8	POU2F1
AP2M1	RALBP1
RALBP1	AMOTL2
AMOTL2	YAP1
EP300	RARA
EP300	STAT1
ADRA1D	DTNA
DTNA	NUP62
NUP62	SP1
DTNA	NMT1
NMT1	TP53
ADRA1D	GOPC
GOPC	RELA
RELA	NFKB1
RELA	HIF1A
RELA	NFKB2
RELA	SP3
ADRA1D	SNTB2
SNTB2	ABCA1
ABCA1	CREBBP
DTNA	ACTB
ACTB	EP300
RELA	POU2F1
ADRA1D	AMFR
AMFR	UBE2D1
UBE2D1	YAP1
DTNA	TJP1
TJP1	ACTN4
ACTN4	RARA
GOPC	KPNA1
KPNA1	STAT1
KCNH2	HSP90AA1
HSP90AA1	SP1
KCNH2	HSPA8
HSPA8	TP53
KCNH2	YWHAE
YWHAE	HDAC4
HDAC4	NFKB1
HSP90AA1	HIF1A
YWHAE	TBK1
TBK1	NFKB2
HSPA8	ESR1
ESR1	SP3
YWHAE	FOXO3
FOXO3	CREBBP
YWHAE	TP53BP2
TP53BP2	EP300
HSP90AA1	ARNT
YWHAE	YWHAQ
YWHAQ	YAP1
HSPA8	UBE3A
UBE3A	RARA
YWHAE	XPO1
XPO1	STAT1
ADRA2A	UCHL1
UCHL1	CTNNB1
CTNNB1	SP1
UCHL1	TP53
UCHL1	COPS5
COPS5	NFKB1
CTNNB1	HIF1A
ADRA2A	GNAI2
GNAI2	NUCB1
NUCB1	REL
REL	NFKB2
GNAI2	SRSF1
SRSF1	PIAS1
PIAS1	SP3
GNAI2	NPM1
NPM1	RELA
CTNNB1	CREBBP
CTNNB1	EP300
UCHL1	HSP90AA1
UCHL1	HSPA8
ADRA2A	GNAO1
GNAO1	CACNA1B
CACNA1B	UBE2L3
UBE2L3	YAP1
GNAI2	TRIP6
TRIP6	AJUBA
AJUBA	RARA
ADRA2A	GNB1
GNB1	MTOR
MTOR	STAT1
ADRA2B	UCHL1
CTNNB1	BTRC
BTRC	NFKB2
ADRA2B	EIF2B1
EIF2B1	HNRNPL
HNRNPL	SFPQ
TP53	RELA
EIF2B1	GCD2
GCD2	TSA1
TSA1	YAP1
UCHL1	UBE2I
UBE2I	STAT1
GLI3	PTCH1
ELK1	XIAP
SMAD3	MYC
CREB3L2	IL8
CREBBP	HK1
CREBBP	BCL2
EP300	HK1
EP300	BCL2
HIF1A	HK1
ARNT	ENO2
TEAD1	CCND1
STAT5A	SOCS5
CREB3L2	MITF
PIK3CB	AKT2
RXRG	EHHADH
IRF7	IFNA8
NFYA	HLA-DRB5
RFX5	LOC100507714
RFX5	LOC101060835
SP1	ALDH3A1
JUN	ALDOA
SMAD3	ANKRD1
ETS1	HPGD
PPARG	MMP9
JUN	TFPI2
