ADRB1	ARRB2
ARRB2	MAPK1
MAPK1	SP1
ARRB2	MAP2K4
MAP2K4	JUN
ADRB2	STAT3
STAT3	SP1
STAT3	JUN
VEGFA	HSP90AA1
HSP90AA1	SP1
VEGFA	HSPA4
HSPA4	RELA
RELA	JUN
NPPB	HDAC4
HDAC4	SP1
NPPB	PSMA3
PSMA3	CDKN1A
CDKN1A	JUN
GJA1	TSG101
TSG101	EP300
EP300	SP1
EP300	JUN
KCNH2	HSP90AA1
KCNH2	YWHAE
YWHAE	ABL1
ABL1	JUN
VCAM1	SFPQ
SFPQ	SP1
VCAM1	PARP1
PARP1	JUN
ADRA1D	DTNA
DTNA	NUP62
NUP62	SP1
ADRA1D	GOPC
GOPC	RELA
ADRA1B	AP2M1
AP2M1	SFPQ
AP2M1	AP1G1
AP1G1	JUN
ADRA2C	UCHL1
UCHL1	CTNNB1
CTNNB1	SP1
UCHL1	UBE2I
UBE2I	JUN
ADRA2B	UCHL1
ADRA2A	UCHL1
ADRA2A	GNAI2
GNAI2	ITCH
ITCH	JUN
SELE	PTK2
PTK2	STAT3
HIF1A	SP1
HIF1A	JUN
MAPK3	IL12A
USF1	APOC3
USF2	APOC3
JUN	CYP11A1
