DRD1	RANBP9
RANBP9	ESR1
ESR1	SP1
RANBP9	NR3C1
NR3C1	JUN
NR3C1	NFKB1
RANBP9	UBE2I
UBE2I	ETS1
ESR1	RELA
NR3C1	PPARG
NR3C1	POU2F1
RANBP9	APP
APP	PHF8
PHF8	RARA
ESR1	TP53
UBE2I	FOS
UBE2I	PPARA
UBE2I	STAT1
DRD5	GNA12
GNA12	HSP90AA1
HSP90AA1	SP1
DRD5	GNA13
GNA13	PTK2B
PTK2B	VAV1
VAV1	JUN
HSP90AA1	ESR1
GNA13	MAP3K5
MAP3K5	EP300
EP300	NFKB1
EP300	ETS1
EP300	RELA
EP300	PPARG
GNA12	APP
APP	HSPA8
HSPA8	POU2F1
EP300	RARA
HSP90AA1	TP53
EP300	FOS
HSP90AA1	PPARA
PTK2B	EGFR
EGFR	STAT1
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	SP1
DRD2	FLNA
FLNA	RBM39
RBM39	JUN
DRD2	CALM1
CALM1	ESR1
FLNA	REL
REL	NFKB1
REL	EP300
REL	RELA
FLNA	ITGB1
ITGB1	PRKCA
PRKCA	PPARG
FLNA	LMNA
LMNA	LMNB1
LMNB1	POU2F1
DRD2	PAWR
PAWR	SQSTM1
SQSTM1	RARA
FLNA	RANBP2
RANBP2	TP53
LMNA	PML
PML	FOS
CALM1	HSP90AA1
PAWR	STAT1
ADRA2A	UCHL1
UCHL1	CTNNB1
CTNNB1	SP1
ADRA2A	GNAI2
GNAI2	ITCH
ITCH	JUN
ADRA2A	GNB1
GNB1	PAK1
PAK1	ESR1
UCHL1	COPS5
COPS5	NFKB1
UCHL1	UBE2I
GNAI2	NPM1
NPM1	RELA
CTNNB1	PPARG
UCHL1	HSPA8
GNAI2	TRIP6
TRIP6	AJUBA
AJUBA	RARA
UCHL1	TP53
GNB1	MTOR
MTOR	STAT1
HTR2A	CBL
CBL	CTNNB1
CBL	SMAD3
SMAD3	JUN
CTNNB1	ESR1
CBL	HSPA4
HSPA4	NFKB1
CBL	GRB2
GRB2	EP300
CBL	HSPA8
HSPA8	RELA
CBL	BAG1
BAG1	RARA
CBL	YWHAZ
YWHAZ	TP53
SMAD3	FOS
GRB2	HSP90AA1
CBL	EGFR
GLI3	WNT4
GLI3	BMP2
VDR	TRPV5
MAPK11	CXCL1
RBPJL	CR2
STAT4	SOCS2
STAT5B	SOCS1
VDR	TRPV6
NFKB1	GADD45B
NFKB1	BCL2A1
RELA	BCL2A1
RELA	TRAF2
RELB	CCL21
PIK3CD	AKT1
PIK3CG	AKT3
RXRB	APOC3
RFX5	HLA-DPA1
RFX5	HLA-DQA1
RFX5	HLA-DQA2
PDX1	INS
TCF7L2	PPARD
TCF7L1	JUN
TCF7L1	MMP7
E2F1	APAF1
TP53	APCS
USF1	APEX1
EGR1	APOA1
USF1	APOC3
USF2	APOC3
E2F+P170	CCNA2
MYC	CCNB1
RELA	F3
CEBPB	F8
AR	F9
ATF2	IFNG
EGR1	TFPI2
NFKB1	TFPI2
