ADRA1B	AP2M1
YWHAQ	YAP1
KCNH2	CDC73
CDC73	CTNNB1
CTNNB1	LEF1
YWHAE	MAP3K7
MAP3K7	DAZAP2
CTNNB1	TCF7L2
HSP90AA1	HIF1A
MAPK14	MAPK1
MAPK14	MAPK3
YWHAE	FOXO3
FOXO3	CREBBP
YWHAE	TP53BP2
TP53BP2	EP300
HSP90AA1	ARNT
YWHAE	WWTR1
YWHAE	EIF3E
EIF3E	TRIM27
TRIM27	TEAD4
WWTR1	TEAD3
YWHAE	CBL
CBL	SOS1
YWHAE	GRAP2
GRAP2	SOS2
ABL1	CREB1
YWHAE	HDAC4
HDAC4	NFKB1
CBL	SMAD7
HSP90AA1	PPARD
KCNH2	NEDD4L
NEDD4L	SMAD3
HSPA8	FLYWCH2
FLYWCH2	RXRB
HSP90AA1	PPARA
PPARA	RXRG
HSPA8	SNCA
SNCA	ELK1
HSP90AA1	BRCA1
YWHAE	TBK1
TBK1	NFKB2
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
ARNTL	BHLHE40
NPAS2	BHLHE41
NPAS2	PER3
CLOCK	RORB
LEF1	MYC
TCF7	BIRC5
TCF7L2	MYC
MAPK14	CXCL1
CREBBP	FASLG
ATF6B	PCNA
EGR3	FASLG
FOS	MMP9
CREBBP	EGF
CREBBP	ENO2
CREBBP	FIGF
CREBBP	GAPDH
EP300	EGF
EP300	ENO2
EP300	FIGF
EP300	GAPDH
HIF1A	EGF
HIF1A	ENO2
HIF1A	FIGF
HIF1A	GAPDH
ARNT	EDN1
ARNT	EGF
ARNT	FIGF
ARNT	PFKFB1
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID3
YAP1	CCND1
YAP1	AXIN2
WWTR1	FGF1
WWTR1	AREG
SMAD1	ID4
SMAD4	ID2
TCF7	SNAI2
TCF7	CCND2
TCF7L2	SOX2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	SOX2
TEAD1	AXIN2
TEAD1	CCND2
TEAD4	MYC
TEAD4	SNAI2
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	GLI2
TEAD3	BIRC5
TEAD3	AXIN2
TEAD3	CCND2
TP73	BBC3
TCF7L1	AXIN2
TCF7L1	CCND2
TEAD2	CTGF
TEAD2	CCND1
TEAD2	SOX2
TEAD2	AXIN2
SMAD4	SLC2A1
FOXO1	G6PC
STAT3	SOCS2
STAT3	CCND3
PAX6	GCK
HNF1A	HNF4G
TCF7	MITF
MAPK3	CDK4
RELA	PTGS2
RELA	CCL4
RELB	CCL19
RELB	CXCL12
PIK3CD	AKT3
PIK3R1	PDPK1
PIK3R2	PDPK1
RBPJ	HES1
TP53	GTSE1
TP53	BAI1
HIF1A	TGFB1
CREB1	BCL2
PPARA	ACOX1
PPARG	UCP1
RXRA	GK
RXRA	GK2
RXRA	ACADL
RXRA	APOA1
RXRA	ACADM
MAPK1	IL23A
MAPK8	IL23A
MAPK9	NOS2
LEF1	FOSL1
TP53	BAK1
ATF1	BCL2
BRCA1	BCL2
CEBPA	BCL2
MYBL1	BCL2
TP53	BCL2
WT1	BCL2
HIF1A	BNIP3
ATF1	BRCA1
USF1	CALCA
USF2	CALCA
E2F4	CAV1
SP1	CAV1
NFKB1	COL1A1
RELA	COL1A1
RELA	FN1
ESR1	FOS
ESR2	FOS
FLI1	FOS
STAT3	FOS
ETS2	FOSL1
JUN	FOSL1
JUND	FOSL1
SP1	FOSL1
RARB	HDAC1
RELA	HDAC1
RELA	HDAC2
NFKB1	HMOX1
SMAD7	HMOX1
SP1	HMOX1
STAT3	HMOX1
ETS2	IL5
POU2F1	IL5
SPI1	IL5
JUN	IVL
JUNB	IVL
POU2F2	MYC
ERG	TNNC1
JUN	TNNC1
SMAD3	TNNC1
SP3	TNPO1
E2F4	TOP1
PAX2	TP53
PAX8	TP53
STAT3	TRH
ETS1	VWF
NFIC	VWF
SMAD3	ZFP36
