HTR1B	MDFI
MDFI	PIN1
PIN1	JUN
MDFI	KAT5
KAT5	EP300
EP300	FOS
KAT5	MYC
EP300	MAPK1
KAT5	BRCA1
BRCA1	MAPK3
EP300	ETS1
KAT5	MAX
PIN1	PPARG
HTR1D	HTR1B
HTR1D	S1PR1
S1PR1	WWP2
WWP2	SMAD3
SMAD3	FOS
SMAD3	MAPK1
HTR1A	S1PR1
S1PR1	TRIP6
TRIP6	CREB5
CREB5	JUN
WWP2	SMAD7
SMAD7	MYC
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	SNCA
SNCA	MAPK3
YWHAQ	NCOA3
NCOA3	ETS1
SMAD3	MAX
GNAI3	XPO1
XPO1	PPARG
STAT3	SOCS2
STAT3	CCND3
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
NFKB2	BIRC3
RXRA	ACADL
USF1	APEX1
SP2	CCND1
CEBPB	HP
ATF4	HPGD
