ADRA1B	AP2M1
AP2M1	EEF1A1
EEF1A1	HSP90AA1
HSP90AA1	NR3C2
AP2M1	CLTC
CLTC	EP300
EP300	CEBPB
AP2M1	AP1G1
AP1G1	JUN
EP300	STAT3
EEF1A1	RUVBL1
RUVBL1	LEF1
AP2M1	UBC
UBC	DAZAP2
DAZAP2	TCF7
EEF1A1	FUS
FUS	TCF7L2
AP2M1	CHD8
CHD8	CTNNB1
CTNNB1	TCF7L1
AP2M1	BCR
BCR	TP53
EP300	IRF3
EP300	ETS1
AP2M1	SFPQ
SFPQ	SP1
EP300	REL
FUS	SPI1
EP300	STAT1
SFPQ	SP3
EP300	NFKB1
AP2M1	HSPA8
HSPA8	RELA
HSPA8	POU2F1
ADRA1D	DTNA
DTNA	MYO1E
MYO1E	CAND1
CAND1	NR3C2
ADRA1D	GOPC
GOPC	RELA
RELA	CEBPB
RELA	JUN
RELA	STAT3
DTNA	ACTB
ACTB	RUVBL1
ADRA1D	AMFR
AMFR	UBC
AMFR	PSMA3
PSMA3	TCF7L2
DTNA	NUP62
NUP62	CTNNB1
DTNA	NMT1
NMT1	TP53
ACTB	EP300
NUP62	SP1
RELA	REL
GOPC	CDC42
CDC42	VAV1
VAV1	SPI1
GOPC	KPNA1
KPNA1	STAT1
RELA	SP3
RELA	NFKB1
RELA	POU2F1
ADRA2A	UCHL1
UCHL1	HSP90AA1
ADRA2A	GNAI2
GNAI2	ITCH
ITCH	SMAD3
SMAD3	CEBPB
ITCH	JUN
ADRA2A	GNB1
GNB1	MTOR
MTOR	STAT3
UCHL1	CTNNB1
CTNNB1	LEF1
GNAI2	PLSCR1
PLSCR1	DAZAP2
CTNNB1	TCF7L2
UCHL1	TP53
HSP90AA1	IRF3
UCHL1	UBE2I
UBE2I	ETS1
CTNNB1	SP1
GNAI2	NUCB1
NUCB1	REL
ADRA2A	GNAO1
GNAO1	OPRM1
OPRM1	ARF1
ARF1	SPI1
MTOR	STAT1
GNAI2	SRSF1
SRSF1	PIAS1
PIAS1	SP3
UCHL1	COPS5
COPS5	NFKB1
GNAI2	NPM1
NPM1	RELA
UCHL1	HSPA8
ADRA2B	UCHL1
ADRA2B	EIF2B1
EIF2B1	HNRNPL
HNRNPL	HNRNPK
HNRNPK	CEBPB
UBE2I	JUN
HSP90AA1	STAT3
UCHL1	UBC
UCHL1	PARK2
PARK2	REL
EIF2B1	GORASP2
GORASP2	NONO
NONO	SPI1
UBE2I	STAT1
HNRNPL	SFPQ
TP53	RELA
ADRA2C	UCHL1
ADRA2C	EIF2B1
ADRB1	ARRB2
ARRB2	PTGES3
PTGES3	NR3C2
ARRB2	MAPK1
MAPK1	CEBPB
ARRB2	MAP2K4
MAP2K4	JUN
ARRB2	CAPN1
CAPN1	STAT3
ARRB2	ALYREF
ALYREF	LEF1
ARRB2	HGS
HGS	DAZAP2
ADRB1	MAGI2
MAGI2	CTNNB1
ARRB2	IGF1R
IGF1R	TP53
ARRB2	MAPK9
MAPK9	IRF3
JUN	ETS1
MAPK1	SP1
ARRB2	FLNA
FLNA	REL
ARRB2	NONO
ARRB2	STAT1
ARRB2	SFPQ
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	PRMT5
PRMT5	RELA
ARRB2	XRCC6
XRCC6	POU2F1
ADRB2	ARRB2
ADRB2	HNRNPK
ADRB2	STAT3
STAT3	JUN
STAT3	SMAD1
SMAD1	LEF1
ADRB2	HGS
STAT3	PML
PML	TCF7L2
DAZAP2	TCF7L1
ADRB2	TSG101
TSG101	TP53
ADRB2	TOMM70A
TOMM70A	IRF3
STAT3	EP300
STAT3	SP1
ADRB2	REL
PML	SPI1
STAT3	STAT1
EP300	SP3
STAT3	NFKB1
STAT3	RELA
ADRB2	LMNB1
LMNB1	POU2F1
ADRB3	SRC
SRC	ARRB2
SRC	EGFR
EGFR	CEBPB
SRC	STAT3
SRC	PLSCR1
SRC	AR
AR	TCF7L2
EGFR	CTNNB1
SRC	TP53
SRC	CREBBP
CREBBP	IRF3
CREBBP	ETS1
SRC	GRB2
GRB2	REL
SRC	HDAC3
HDAC3	SPI1
SRC	STAT1
CREBBP	SP3
CREB3L1	CRH
CREB5	BDNF
TP53	GADD45G
RBPJ	CR2
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
HNF1A	HNF4A
MITF	TYRP1
RXRA	ACSBG2
RXRA	ACOX2
RXRA	CD36
RXRB	ACADM
RXRB	APOC3
RXRB	ME1
CREB1	CD74
MAPK14	IL12A
MAPK14	IL23A
MYD88	IFNA4
NFYC	HLA-DRA
NFYC	HLA-DRB3
NFYC	HLA-DRB4
RFX5	LOC100507714
RFX5	LOC101060835
RFX5	HLA-DPA1
RFX5	HLA-DQB1
RFX5	HLA-DRA
RFX5	HLA-DRB1
LEF1	JUN
LEF1	MMP7
LEF1	PPARD
JUN	PLAUR
ATF1	CALCA
JUN	F3
PPARD	GADD45A
PPARG	GADD45A
RARA	GADD45A
NFIC	GH2
STAT5B	IFNG
USF1	IFNG
CEBPA	IGF2
HIF1A	MDK
JUND	PLAT
RARA	PLAU
ETV4	TNF
