DRD2	FLNA
FLNA	REL
REL	HDAC1
HDAC1	GLI1
HTR2A	CBL
CBL	CTNNB1
CTNNB1	HDAC1
DRD1	RANBP9
RANBP9	APP
APP	MYC
MYC	GLI1
DRD3	EPB41L1
EPB41L1	APP
DRD4	ARRB2
ARRB2	HDAC2
HDAC2	GLI1
HTR1A	HTR1D
HTR1D	HTR1B
HTR1B	MDFI
MDFI	VHL
VHL	GLI1
HTR1E	PSMC3
PSMC3	VHL
HTR2C	DLG4
DLG4	HGS
HGS	ITCH
ITCH	GLI1
HTR6	ATM
ATM	VHL
HTR7	CUL3
CUL3	ITCH
ADRA1B	AP2M1
AP2M1	NUMB
NUMB	GLI1
ADRA2A	GNAI2
GNAI2	ITCH
ADRA2B	UCHL1
UCHL1	CDK4
CDK4	GLI1
ADRA2C	UCHL1
CHRM1	GPRASP2
GPRASP2	CCDC8
CCDC8	HDAC2
CHRM2	SET
SET	APP
CHRM3	SET
GLI1	WNT16
