PTGS2	EP300
EP300	SP1
EP300	JUN
EP300	EGR1
EP300	NFKB1
EP300	CTNNB1
CTNNB1	LEF1
EP300	PLSCR1
PLSCR1	DAZAP2
DAZAP2	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
EP300	RELA
EP300	Cebpb
Cebpb	NFIC
RELA	PPARA
PTGS1	CAV1
CAV1	CTNNB1
CTNNB1	SP1
CAV1	CSK
CSK	JUN
PTGS1	PTGS2
LEF1	DAZAP2
CAV1	ESR1
ESR1	RELA
PTGS1	PTGIS
PTGIS	HSP90AA1
HSP90AA1	NFIC
HSP90AA1	PPARA
STAT4	CCND3
STAT5B	CCND2
CREB1	CD74
MAPK14	IL12A
MAPK14	IL23A
MYD88	IFNA4
RFX5	HLA-DRB3
RFX5	HLA-DRB4
RFXANK	LOC100509457
ELK1	TWF2
USF1	APOC3
USF2	APOC3
CREB1	ARG1
SP1	COX4I1
JUN	F3
RARA	GADD45B
TAL1	ID2
JUND	IVL
ATF1	JUN
ATF2	JUN
CREB1	JUN
ERG	JUN
