CHRM1	GPRASP2
GPRASP2	TXN
TXN	NFKB1
GPRASP2	AGO1
AGO1	RELA
RELA	SP3
TXN	TP53
TP53	EGR1
NFKB1	SP1
GPRASP2	RPS6KA5
RPS6KA5	CREB1
GPRASP2	TRIM32
TRIM32	RXRA
TXN	NR3C1
NR3C1	RXRB
TRIM32	RARA
RARA	RXRG
TP53	ETS1
GPRASP2	AP1G1
AP1G1	JUN
GPRASP2	RAF1
RAF1	RB1
RB1	TFDP2
GPRASP2	AGO2
AGO2	HSP90AA1
HSP90AA1	PPARA
GPRASP2	EIF3E
EIF3E	NCOA3
NCOA3	CEBPA
HSP90AA1	NFIC
CHRM2	SET
SET	NR3C1
NR3C1	NFKB1
SET	CCNB1
CCNB1	EP300
EP300	SP3
SET	TP53
TP53	SP1
NR3C1	CREB1
CHRM2	Set
Set	Cdk4
Cdk4	CTCF
CTCF	RXRA
NR3C1	NCOR2
NCOR2	RXRG
NR3C1	JUN
CCNB1	RB1
CCNB1	RELA
SET	APP
APP	AKAP13
AKAP13	PPARA
Set	Csnk1e
Csnk1e	C1QBP
C1QBP	CEBPA
NR3C1	HSP90AA1
CHRM3	SET
APP	GSK3B
GSK3B	RXRA
CHRM3	CSNK1A1
CSNK1A1	HSP90AA1
APP	MAPK8
MAPK8	CEBPA
GLI3	GLI1
EPAS1	FIGF
FOS	PGF
NFKB2	BCL2L1
NFKB2	TRAF1
IRF1	IL12A
CREB3L2	BCL2
PPARA	CPT2
PPARA	CYP4A11
PPARA	ACADM
PPARD	ANGPTL4
PPARG	CPT1A
PPARG	CPT1B
PPARG	PCK2
RXRA	FABP1
RXRG	FABP4
IRF7	IFNA10
MYD88	IFNA7
MYD88	IFNA14
RFX5	HLA-DRB3
RFX5	HLA-DRB4
RFXANK	HLA-DRB1
RFXANK	HLA-DRB3
RFXANK	HLA-DRB4
NFATC4	PTGS2
CEBPA	ADH7
HIF1A	ADM
TFAP2A	ADM
CREB1	ADRA1A
SP1	ADRA1A
RELA	ICAM1
SPI1	ICAM1
MYC	ID2
RARA	MIF
RARG	MIF
CEBPA	MMP11
FLI1	MMP2
ESR1	TFF1
