HTR1B	MDFI
MDFI	PIN1
PIN1	JUN
MDFI	KAT5
KAT5	EP300
EP300	NFKB1
KAT5	RELA
MDFI	MYOD1
MYOD1	CREBBP
MDFI	VHL
VHL	HIF1A
EP300	ARNT
EP300	FOS
HTR1D	HTR1B
HTR1D	S1PR1
S1PR1	WWP2
WWP2	SMAD3
SMAD3	FOS
HTR1A	S1PR1
S1PR1	TRIP6
TRIP6	CREB5
CREB5	JUN
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	E2F1
E2F1	NFKB1
TRIP6	UBE2C
UBE2C	RELA
TRIP6	SRC
SRC	CREBBP
SMAD3	EP300
SMAD3	HIF1A
YWHAQ	NCOA1
NCOA1	ARNT
NPAS2	PER2
CLOCK	RORC
ELK1	CCND1
MAPK8	SMAD4
CREB3L2	PCNA
CREBBP	PDK1
CREBBP	SLC2A1
EP300	PDK1
EP300	SLC2A1
HIF1A	PDK1
NFKB1	CXCL2
NFKB1	NFKBIA
PIK3R5	PDPK1
PIK3CG	AKT2
RXRA	UCP1
RXRB	CYP4A22
STAT1	TP53
FOS	TSHB
