PDE4B	MAGEA11
MAGEA11	EP300
EP300	TP73
EP300	SP1
EP300	HDAC1
HDAC1	GLI2
EP300	CREBBP
CREBBP	GLI3
PDE4A	SQSTM1
SQSTM1	FUS
FUS	TP73
SQSTM1	MAPK1
MAPK1	SP1
SQSTM1	NFE2L2
NFE2L2	HDAC1
SQSTM1	YWHAZ
YWHAZ	PRKCA
PRKCA	GLI3
PDE4C	SRI
SRI	STAT3
STAT3	EP300
STAT3	SP1
STAT3	HDAC1
HDAC1	GLI3
PDE4D	GNB2L1
GNB2L1	TP73
PDE4D	APP
APP	MAPK8
MAPK8	SP1
PDE4D	MDM2
MDM2	HDAC1
PDE4D	LYN
LYN	CREBBP
ADORA1	GNAI2
GNAI2	ITCH
ITCH	TP73
ITCH	SMAD3
SMAD3	SP1
GNAI2	NPM1
NPM1	HDAC1
ADORA2A	DRD2
DRD2	PAWR
PAWR	FBXO45
FBXO45	TP73
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	SP1
DRD2	FLNA
FLNA	REL
REL	HDAC1
DRD2	CALM1
CALM1	KRAS
KRAS	GLI3
RELA	BIRC2
GLI1	WNT2
GLI1	WNT7B
GLI2	WNT16
SMAD2	CTGF
MAPK3	IL12A
REL	IL2
MYB	MYB
SP1	RPL10
SPI1	SCARB1
CEBPA	SERPINC1
ETS1	SLC26A3
