CACNA1C	COPS5
COPS5	NFKB1
COPS5	ESR1
ESR1	RELA
COPS5	JUN
COPS5	NCOA1
NCOA1	FOS
CACNA1S	SRI
SRI	STAT3
STAT3	NFKB1
STAT3	RELA
STAT3	JUN
STAT3	PML
PML	FOS
CACNB1	APP
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
APP	MAPK8
MAPK8	JUN
APP	MAPK7
MAPK7	FOS
CACNB3	CACNA1C
CACNB4	CBX3
CBX3	RELB
RELB	NFKB1
CBX3	FAF1
FAF1	RELA
CBX3	XRCC6
XRCC6	CREBBP
CREBBP	JUN
CREBBP	FOS
NR3C2	NR3C1
NR3C1	NFKB1
NR3C1	RELA
NR3C1	JUN
NR3C2	UBE2I
UBE2I	FOS
AHR	EP300
EP300	NFKB1
AHR	RELA
EP300	JUN
EP300	FOS
NPAS2	PER2
CLOCK	RORC
STAT5A	SOCS7
STAT6	SOCS4
RXRA	UBC
RXRA	UCP1
RXRB	GK2
RXRB	CYP4A22
STAT1	TP53
FOS	TSHB
