AKR1D1	SIRT1
SIRT1	STAT3
STAT3	SP1
SIRT1	JUN
SIRT1	RB1
RB1	TFAP2A
RB1	MYC
SIRT1	RELA
RELA	USF2
SIRT1	ARRB2
ARRB2	PARK2
PARK2	MEOX2
MEOX2	PAX1
STAT3	HIF1A
SIRT1	HDAC2
HDAC2	GLI1
STAT3	HDAC1
HDAC1	GLI2
HDAC1	GLI3
STAT3	NFKB1
SIRT1	FOS
FOS	CEBPA
RB1	SPI1
SIRT1	ESR1
ESR1	CREBBP
STAT3	EP300
RB1	ARNT
SIRT1	HSP90AA1
HSP90AA1	NFIC
SIRT1	UBE2I
UBE2I	ETS1
SIRT1	TP53
STAT3	STAT1
RB1	CEBPB
STAT3	CPT1C
CREB3L1	ARC
CREB3L1	FOS
NFKB1	BIRC2
RELA	BCL2L1
RELA	BIRC7
GLI1	BMP4
GLI1	WNT11
GLI1	WNT2B
GLI1	WNT3A
RBPJ	CR2
ELK1	BIRC2
SMAD3	MYC
RELA	MMP9
CREBBP	HK1
CREBBP	PGF
EP300	HK1
EP300	PGF
HIF1A	HK1
RELA	TRAF1
PIK3CD	PDPK1
PLCG2	EGFR
RXRB	APOC3
NFYC	LOC100509457
NFYC	LOC101060835
MAPK1	IL1A
MAPK13	IL1B
MAPK13	IL6
MAPK13	IL12A
RFX5	HLA-DOB
RFX5	HLA-DQB1
RFX5	HLA-DRA
USF1	APOC3
USF2	APOC3
TFAP2A	CCNB1
USF1	CCNB1
CREB1	CCND1
CREM	CCND1
POU2F1	CCND1
SP1	CCND1
SP1	CEACAM5
USF1	CEACAM5
USF2	CEACAM5
USF2	CEACAM6
CREB1	CGA
MYC	EIF4E
CREB1	ERBB2
ELK1	ERBB2
ETV4	ERBB2
TFAP2A	ERBB2
WT1	MYB
E2F4	MYC
MYC	MYC
JUN	NPPA
USF2	PTGS2
MYC	PTMA
E2F4	RBL1
RARA	S100A8
RARB	S100A8
NFKB1	SAA2
ESR2	SERPINE1
PPARA	SERPINE1
POU2F1	SFTPA1
