PDE4A	SQSTM1
SQSTM1	CUL3
CUL3	NFKB1
SQSTM1	PRKCZ
PRKCZ	RELA
SQSTM1	MAPK1
MAPK1	SP1
MAPK1	ESR1
MAPK1	JUN
SQSTM1	MAPK14
MAPK14	CREB1
PDE4B	MAGEA11
MAGEA11	EP300
EP300	NFKB1
EP300	RELA
EP300	SP1
EP300	ESR1
EP300	JUN
EP300	CREB1
PDE4D	APP
APP	GSK3B
GSK3B	NFKB1
PDE4D	MDM2
MDM2	RELA
APP	MAPK8
MAPK8	SP1
MDM2	ESR1
MDM2	JUN
APP	KAT5
KAT5	CREB1
PDE4C	SRI
SRI	STAT3
STAT3	NFKB1
STAT3	RELA
STAT3	SP1
STAT3	EP300
STAT3	JUN
PGD	SUMO3
SUMO3	RL2
RL2	NFKB1
PGD	GDI1
GDI1	RAC3
RAC3	RELA
SUMO3	PML
PML	SP1
PGD	RPS6KA1
RPS6KA1	ESR1
PML	JUN
RPS6KA1	CREB1
ARNTL	BHLHE40
RXRG	EHHADH
IRF7	IFNA8
MYD88	IFNA13
MAPK1	IL12B
MAPK3	IL12A
FOS	PLAUR
E2F+P170	CCNA2
MYC	CCNB1
ATF1	JUN
CREB1	JUN
ERG	JUN
E2F4	TOP1
