DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	SP1
CDKN2A	EGR1
HTR2A	CBL
CBL	CTNNB1
CTNNB1	SP1
CBL	GRB2
GRB2	EP300
EP300	EGR1
DRD1	RANBP9
RANBP9	ESR1
ESR1	SP1
ESR1	EP300
DRD3	GIPC1
GIPC1	MCM7
MCM7	RB1
RB1	SP1
GIPC1	OGT
OGT	RELA
RELA	EGR1
DRD4	ARRB2
ARRB2	MAPK1
MAPK1	SP1
DRD4	GRB2
HTR1A	S1PR1
S1PR1	WWP2
WWP2	SMAD3
SMAD3	SP1
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	PSMA3
PSMA3	EGR1
HTR1B	MDFI
MDFI	VHL
VHL	SP1
MDFI	KAT5
KAT5	EP300
HTR1D	HTR1B
HTR1E	PSMC4
PSMC4	PSMC5
PSMC5	SP1
PSMC4	PSMA3
HTR2C	CALM1
CALM1	ESR1
HTR2C	DLG4
DLG4	ACTN2
ACTN2	SNAI1
SNAI1	EGR1
HTR6	CLTC
CLTC	EP300
EP300	SP1
HTR7	CUL3
CUL3	CTNNB1
CUL3	GRB2
ADRA1B	AP2M1
AP2M1	SFPQ
SFPQ	SP1
AP2M1	CLTC
ADRA2A	UCHL1
UCHL1	CTNNB1
UCHL1	TP53
TP53	EGR1
ADRA2B	UCHL1
ADRA2C	UCHL1
CHRM1	GPRASP2
GPRASP2	TXN
TXN	NFKB1
NFKB1	SP1
TXN	TP53
CHRM2	SET
SET	TP53
TP53	SP1
CHRM3	SET
EGR1	CD44
SP1	CD44
