PDE4A	SQSTM1
SQSTM1	YWHAZ
YWHAZ	TP53
SQSTM1	BCL2
BCL2	MYC
SQSTM1	MAPK14
MAPK14	CREB1
SQSTM1	NCOR1
NCOR1	ETS1
SQSTM1	MAPK1
MAPK1	JUN
SQSTM1	HIF1A
MAPK1	CREBBP
MAPK1	EP300
HIF1A	ARNT
PDE4B	MAGEA11
MAGEA11	EP300
EP300	TP53
EP300	MYC
EP300	CREB1
EP300	ETS1
EP300	JUN
EP300	HIF1A
EP300	CREBBP
EP300	ARNT
PDE4D	LYN
LYN	TP53
PDE4D	APP
APP	MYC
APP	KAT5
KAT5	CREB1
APP	MAPK7
MAPK7	ETS1
PDE4D	MDM2
MDM2	JUN
PDE4D	GNB2L1
GNB2L1	HIF1A
LYN	CREBBP
MDM2	EP300
GNB2L1	RB1
RB1	ARNT
PDE4C	SRI
SRI	ANXA7
ANXA7	TP53
SRI	STAT3
STAT3	PML
PML	MYC
STAT3	EP300
STAT3	JUN
STAT3	HIF1A
SRI	TCF12
TCF12	CREBBP
PML	ARNT
PGD	P4HB
P4HB	SERPINH1
SERPINH1	TP53
PGD	TALDO1
TALDO1	TP73
TP73	MYC
PGD	RPS6KA1
RPS6KA1	CREB1
PGD	SUMO3
SUMO3	UBE2I
UBE2I	ETS1
SUMO3	PML
PML	JUN
P4HB	VCP
VCP	HIF1A
PML	CREBBP
TP73	EP300
NFKB1	TNF
CREBBP	SERPINE1
EP300	SERPINE1
HIF1A	SERPINE1
CREB1	GH2
NFIC	GH2
STAT5A	IFNG
ESR2	JUN
ETS2	JUN
JUN	JUN
SMAD3	MMP9
