PDE4A	SQSTM1
SQSTM1	YWHAZ
YWHAZ	TP53
TP53	EGR1
SQSTM1	MAPK14
MAPK14	CREB1
SQSTM1	CUL3
CUL3	NFKB1
SQSTM1	PRKCZ
PRKCZ	RELA
YWHAZ	NFATC4
NFATC4	CEBPA
SQSTM1	MAPK1
MAPK1	SP1
SQSTM1	BCL2
BCL2	ITLN1
ITLN1	SP3
SQSTM1	RARA
RARA	SPI1
MAPK1	ESR1
YWHAZ	RFWD2
RFWD2	ETV4
SQSTM1	HSPA4
HSPA4	ERG
PDE4B	MAGEA11
MAGEA11	EP300
EP300	EGR1
EP300	CREB1
EP300	NFKB1
EP300	RELA
MAGEA11	MTA1
MTA1	CEBPA
EP300	SP1
EP300	SP3
MAGEA11	RB1
RB1	SPI1
EP300	ESR1
EP300	TP63
TP63	ETV4
EP300	ETS2
ETS2	ERG
EP300	TP53
PDE4D	LYN
LYN	CREBBP
CREBBP	EGR1
PDE4D	APP
APP	KAT5
KAT5	CREB1
APP	GSK3B
GSK3B	NFKB1
PDE4D	MDM2
MDM2	RELA
APP	MAPK8
MAPK8	CEBPA
MAPK8	SP1
PDE4D	ARRB2
ARRB2	SFPQ
SFPQ	SP3
MAPK8	SPI1
MDM2	ESR1
PDE4D	GNB2L1
GNB2L1	TP63
APP	HSPA8
HSPA8	ERG
LYN	TP53
PDE4C	SRI
SRI	STAT3
STAT3	EP300
STAT3	NFKB1
STAT3	RELA
STAT3	CDKN1A
CDKN1A	CEBPA
STAT3	SP1
STAT3	PML
PML	SPI1
SRI	TCF12
TCF12	SMAD2
SMAD2	ETV4
STAT3	JUN
JUN	ERG
SRI	ANXA7
ANXA7	TP53
PGD	GNAI3
GNAI3	YWHAQ
YWHAQ	PSMA3
PSMA3	EGR1
PGD	RPS6KA1
RPS6KA1	CREB1
PGD	SUMO3
SUMO3	RL2
RL2	NFKB1
PGD	GDI1
GDI1	RAC3
RAC3	RELA
YWHAQ	CDKN1A
SUMO3	PML
PML	SP1
SUMO3	PIAS1
PIAS1	SP3
RPS6KA1	ESR1
SUMO3	UBA2
UBA2	ETV4
PGD	EEF2
EEF2	HSPA8
PGD	P4HB
P4HB	SERPINH1
SERPINH1	TP53
TCF7L2	CCND1
CREB1	MITF
RFX5	HLA-DRB5
RFXANK	HLA-DMB
RFXANK	HLA-DOA
CEBPA	ADH7
HIF1A	ADM
TFAP2A	ADM
CREB1	ADRA1A
SP1	ADRA1A
E2F+P170	CCNA2
MYC	CCNB1
POU5F1	HMGB2
CEBPE	MYC
ESR1	MYC
SMAD4	ZFP36
