SCN2A	ANK3
ANK3	TIAM1
TIAM1	MAPK8IP1
MAPK8IP1	JUN
TIAM1	RAC1
RAC1	TALDO1
TALDO1	TP73
TIAM1	BTRC
BTRC	CAND1
CAND1	NR3C2
BTRC	NFKB1
BTRC	MDM2
MDM2	MYD88
BTRC	TP53
RAC1	SFPQ
SFPQ	PPARG
TIAM1	CSNK1E
CSNK1E	NCOA3
NCOA3	RXRA
SFPQ	NR3C1
NR3C1	RXRB
BTRC	NCOR2
NCOR2	RXRG
BTRC	RELA
RELA	PPARA
BTRC	SP1
NCOA3	ETS2
CREB5	BDNF
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
SMAD2	CTGF
SOS1	SPRY1
HNF1A	HNF4A
MAPK1	CDK4
EPAS1	TGFA
FOS	MMP1
MAX	CKS2
NFKB1	TRAF4
NFKB2	TRAF4
RELA	MYB
PPARA	ACSL1
PPARD	LPL
PPARG	ACSBG1
RXRA	EHHADH
RXRG	CYP7A1
NFYA	HLA-DOA
RELA	AKR1B1
SP1	AKR1B1
POU2F1	AKR1C3
USF1	CEACAM6
USF2	CEACAM6
ATF1	JUN
CREB1	JUN
ERG	JUN
RARA	PLAU
NFKB1	TP53
PAX5	TP53
CREB1	TRH
