DRD1	RANBP9
RANBP9	ESR1
ESR1	SP1
RANBP9	NR3C1
NR3C1	NFKB1
ESR1	SMURF1
SMURF1	NFIC
RANBP9	TGFBR1
TGFBR1	SMAD7
DRD5	GNA12
GNA12	HSP90AA1
HSP90AA1	SP1
DRD5	GNA13
GNA13	MAP3K5
MAP3K5	EP300
EP300	NFKB1
HSP90AA1	NFIC
GNA13	PTK2B
PTK2B	CBL
CBL	SMAD7
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	SP1
DRD2	FLNA
FLNA	REL
REL	NFKB1
DRD2	CALM1
CALM1	HSP90AA1
DRD2	EPB41L1
EPB41L1	COPS5
COPS5	SMAD7
ADRA2A	UCHL1
UCHL1	CTNNB1
CTNNB1	SP1
UCHL1	COPS5
COPS5	NFKB1
UCHL1	HSP90AA1
ADRA2A	GNAI2
GNAI2	ITCH
ITCH	SMAD7
HTR2A	CBL
CBL	CTNNB1
CBL	HSPA4
HSPA4	NFKB1
CBL	GRB2
GRB2	HSP90AA1
SP1	CDKN1C
NFIC	HMOX1
NFKB1	HMOX1
SMAD7	HMOX1
SP1	HMOX1
NFIC	TFPI2
NFKB1	TFPI2
SP1	TFPI2
