HTR1B	MDFI
MDFI	VHL
VHL	SP1
MDFI	KAT5
KAT5	EP300
EP300	NFKB1
KAT5	RELA
MDFI	PIN1
PIN1	JUN
MDFI	MYOD1
MYOD1	CREBBP
VHL	HIF1A
EP300	ARNT
HTR1D	HTR1B
HTR1A	S1PR1
S1PR1	WWP2
WWP2	SMAD3
SMAD3	SP1
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	E2F1
E2F1	NFKB1
S1PR1	TRIP6
TRIP6	UBE2C
UBE2C	RELA
TRIP6	CREB5
CREB5	JUN
TRIP6	SRC
SRC	CREBBP
SMAD3	EP300
SMAD3	HIF1A
YWHAQ	NCOA1
NCOA1	ARNT
CREBBP	ENO1
CREBBP	HKDC1
EP300	ENO1
EP300	HKDC1
HIF1A	ENO1
HIF1A	HKDC1
ARNT	ENO1
ARNT	HKDC1
NFKB1	NFKBIA
RELA	NFKBIA
NFKB1	CEBPB
RELA	CEBPB
SP1	KRT18
JUN	TXN
