HTR2A	CBL
CBL	GRB2
GRB2	HSP90AA1
HSP90AA1	NFIC
CBL	ABL1
ABL1	CREB1
GRB2	EP300
EP300	ETS1
CBL	SMAD3
SMAD3	CEBPA
SMAD3	JUN
CBL	CTNNB1
CTNNB1	CREBBP
CTNNB1	HIF1A
EP300	ARNT
CBL	EGFR
EGFR	STAT3
SMAD3	FOS
CBL	HSPA4
HSPA4	NFKB1
CBL	HSPA8
HSPA8	RELA
CBL	MAPK8
MAPK8	MYC
SMAD3	CEBPB
DRD2	CALM1
CALM1	HSP90AA1
DRD2	PPP1R9B
PPP1R9B	PPP1CA
PPP1CA	CREB1
DRD2	FLNA
FLNA	REL
REL	EP300
FLNA	LMNA
LMNA	KAT5
KAT5	CEBPA
FLNA	RBM39
RBM39	JUN
REL	CREBBP
DRD2	EPB41L1
EPB41L1	COPS5
COPS5	HIF1A
HSP90AA1	ARNT
DRD2	PAWR
PAWR	STAT1
STAT1	STAT3
LMNA	PML
PML	FOS
REL	NFKB1
REL	RELA
EPB41L1	APP
APP	MYC
CALM1	ESR1
ESR1	CEBPB
STAT3	PIM2
ELK1	CCND1
MAPK9	JUN
MAPK9	SMAD4
CREB3L2	PCNA
CREBBP	PFKFB1
CREBBP	PFKFB2
CREBBP	SLC2A1
EP300	PFKFB1
EP300	PFKFB2
EP300	SLC2A1
HIF1A	PFKFB1
HIF1A	PFKFB2
NFKB1	IL1B
NFKB1	CCL4L2
NFKB1	PLAU
NFKB1	PTGS2
NFKB2	TNFSF13B
NFKB2	ICAM1
RELB	ICAM1
RELB	CCL13
PIK3CA	AKT3
PIK3CA	AKT1
PIK3CG	PDPK1
PIK3R1	AKT3
PIK3R3	PDPK1
RBPJL	PTCRA
RXRB	SCP2
MYD88	IFNA10
NFYA	LOC100509457
NFYC	HLA-DPA1
NFYC	HLA-DPB1
NFYC	HLA-DQA1
TP53	AQP1
ATF1	AQP3
E2F4	CAV1
SP3	DNASE2
JUN	F3
TFAP2A	GH2
STAT4	IFNG
BCL3	NFKB1
