HTR1A	S1PR1
S1PR1	TRIP6
TRIP6	CREB5
CREB5	JUN
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	NCOA3
NCOA3	ETS1
S1PR1	WWP2
WWP2	SMAD3
SMAD3	FOS
S1PR1	PDGFRB
PDGFRB	VAV1
VAV1	SPI1
SMAD3	SP1
TRIP6	PTK2
PTK2	TP53
SMAD3	CEBPA
WWP2	SMAD2
SMAD2	ETV4
GNAI3	GNAI2
GNAI2	NPM1
NPM1	TFAP2A
WWP2	SMAD7
SMAD7	MYC
YWHAQ	PSMA3
PSMA3	EGR1
YWHAQ	E2F1
E2F1	NFKB1
TRIP6	UBE2C
UBE2C	RELA
NPAS2	PER2
CLOCK	RORC
STAT5A	SOCS7
STAT6	SOCS4
RELA	TRAF1
PIK3R5	AKT1
PIK3CD	PDPK1
PLCG2	EGFR
RXRA	ACSBG1
RXRA	UBC
RXRA	UCP1
RXRB	GK2
RXRB	CYP4A22
RFX5	HLA-DOB
RFXANK	HLA-DRB1
RFXANK	HLA-DRB3
SP1	CEACAM5
USF2	CEACAM5
USF2	CEACAM6
CREB1	CGA
NFIC	CYP17A1
MYC	EIF4E
RELA	ELF3
CREB1	ERBB2
ELK1	ERBB2
ETV4	ERBB2
TFAP2A	ERBB2
STAT1	TP53
FOS	TSHB
