GRIN1	SPTAN1
SPTAN1	LMNB1
LMNB1	POU2F1
POU2F1	CREB1
SPTAN1	FANCA
FANCA	HSP90AA1
HSP90AA1	ZBTB17
SPTAN1	MSN
MSN	MAPK8
MAPK8	PIAS2
SPTAN1	ACTA1
ACTA1	CDKN2A
CDKN2A	EGR1
MSN	HSPA4
HSPA4	NFKB1
POU2F1	RELA
MAPK8	JUN
MSN	CTNNB1
CTNNB1	SP1
LMNB1	MBIP
MBIP	MYD88
GRIN2B	DLG3
DLG3	CAMK2A
CAMK2A	CREB1
GRIN2B	FYN
FYN	HSP90AA1
GRIN2B	ARHGAP32
ARHGAP32	AKT1
AKT1	PIAS2
FYN	IL1B
IL1B	EGR1
GRIN2B	DLG1
DLG1	BTRC
BTRC	NFKB1
BTRC	RELA
GRIN2B	DLG4
DLG4	MDM2
MDM2	JUN
BTRC	SP1
MDM2	MYD88
GLI3	BMP4
NPAS2	PER2
CLOCK	RORC
MAPK11	IL8
RBPJL	FCER2
SOS1	SPRY4
TP53	PERP
RXRA	ACSBG1
RXRA	ACSL5
RXRB	CYP4A22
RXRB	ACAA1
RXRB	PLTP
CREB5	AQP2
NFAT5	PTGS2
SP3	CYP1A1
CEBPD	IL6
JUN	MAT2A
SP1	MAT2B
POU2F1	TFPI2
STAT1	TP53
FOS	TSHB
