CA6	KRT31
KRT31	TSG101
TSG101	EP300
EP300	CREBBP
TSG101	TP53
TP53	IRF7
TSG101	MDM2
MDM2	MYD88
EP300	USF2
EP300	CREB1
EP300	FOXO3
KRT31	HGS
HGS	ITCH
ITCH	GLI1
KRT31	HDAC4
HDAC4	SP1
KRT31	LMO4
LMO4	HDAC1
HDAC1	GLI2
HDAC1	GLI3
HDAC4	HIF1A
EP300	ARNT
KRT31	PIN1
PIN1	JUN
EP300	FOS
LMO4	ESR1
EP300	VDR
TSG101	NONO
NONO	SPI1
TSG101	CDKN1A
CDKN1A	CEBPA
HDAC4	NFKB1
PIN1	RELA
EP300	RXRA
TSG101	NR3C1
NR3C1	RXRB
LMO4	PPARG
PPARG	RXRG
EP300	TFAP2A
LMO4	HDAC2
HDAC2	PPARD
TSG101	UBE2I
UBE2I	PPARA
HDAC4	STAT1
EP300	SP3
KRT31	PSMA1
PSMA1	REL
REL	NEUROG3
EP300	ETS1
TSG101	NFKB2
HDAC4	MAPK1
HDAC4	MAPK3
LMO4	BRCA1
BRCA1	ATF1
HGS	ESRRG
ESRRG	MEOX2
MEOX2	PAX1
EP300	ZBTB17
KRT31	CLDN2
CLDN2	PIAS2
HDAC4	ATF3
ATF3	PDX1
EP300	MAPK14
KRT31	PKN1
PKN1	MAPK11
PSMA1	VCP
VCP	MAPK13
CDKN1A	MAPK8
TP53	MAPK9
TP53	MAPK10
ATF6B	PDYN
CREB3L4	ARC
ATF4	PDYN
CREB3L2	ARC
NFKB1	BIRC3
NFKB1	BCL2
GLI1	WNT1
GLI1	WNT3
GLI2	GLI1
GLI2	WNT4
GLI3	BMP4
GLI3	WNT5A
ARNTL	PER3
ARNTL	PER2
ARNTL	NR1D1
NPAS2	CRY1
NPAS2	CRY2
NPAS2	PER1
TCF7L1	CCND1
ESR1	CALB1
ELK1	CCND3
EGR2	FASLG
SMAD3	MYC
ATF4	IL8
NFATC3	TNF
TP53	CDKN1B
CREBBP	ALDOA
CREBBP	HK1
CREBBP	HK2
CREBBP	LTBR
CREBBP	TF
EP300	ALDOA
EP300	HK1
EP300	HK2
EP300	LTBR
EP300	TF
HIF1A	ALDOA
HIF1A	HK1
HIF1A	HK2
HIF1A	LTBR
SOS1	SPRED2
SOS2	SPRY4
STAT1	CCND1
STAT4	SOCS1
STAT5A	SOCS7
STAT5B	CCND1
STAT6	SOCS4
MITF	TYRP1
RELA	TRAF1
PIK3R5	AKT1
PIK3CA	PDPK1
PIK3CB	AKT1
PIK3CD	PDPK1
TP53	DDB2
TP53	FAS
TP53	PERP
TP53	PPM1D
NFKB1	VEGFA
RELA	PGF
ETS1	CDK4
HIF1A	TGFA
IRF8	IL12B
IRF1	IL12A
PPARA	APOA2
PPARA	ACADM
PPARG	PCK1
PPARG	PCK2
RXRA	APOC3
RXRA	ILK
RXRA	ACSL5
RXRA	PLIN1
RXRA	UBC
RXRB	CYP7A1
RXRB	DBI
RXRB	FABP4
RXRB	FABP1
RXRB	FABP3
RXRB	ACSL1
RXRB	ACSL3
RXRB	ACSL4
RXRB	GK2
RXRB	APOC3
RXRB	UCP1
RXRG	SLC27A4
RXRG	CPT1A
RXRG	CPT2
RXRG	CYP4A11
RXRG	CYP7A1
RXRG	CYP8B1
RXRG	CYP27A1
RXRG	ADIPOQ
MAPK10	IL8
SMAD4	PITX2
SP1	CDKN2B
FOS	CCL4
IRF3	CD40
IRF5	CCL5
NFYA	HLA-DPB1
NFYA	HLA-DQA1
NFYA	HLA-DQA2
MAPK11	TNF
MAPK9	IL1A
MAPK9	IL6
MAPK9	IL12B
RFXANK	HLA-DMA
RFXANK	HLA-DRB3
RFXANK	HLA-DRB4
LEF1	ADA
EGR1	CD9
MYC	CDC25A
E2F4	CDC45
E2F2	CDC45
SP1	CYP11A1
TFAP2A	CYP11A1
SP1	CYP21A2
JUNB	DCN
MYC	DDX18
E2F4	DHFR
MYC	EIF4E
CREB1	ERBB2
ELK1	ERBB2
ETV4	ERBB2
TFAP2A	ERBB2
SP1	GH2
SP1	IL1B
CEBPD	IL6
FOS	MT1A
JUN	MT1A
WT1	MYB
E2F4	MYC
MYC	MYC
POU2F1	PRL
ATF1	PTGS2
CREB1	PTGS2
ETV4	PTGS2
MYBL2	RBL1
PPARD	RELA
RELA	SAA2
SPI1	SCARB2
NFIC	SFTPC
CREB1	SLC9A1
POU2F1	TFPI2
ETS1	TFRC
CEBPB	TOP1
USF2	TOP3A
MYC	TP53
EGR1	TP53
FOS	TP53
HIF1A	TP53
