GABRB2	TRAK2
TRAK2	GSK3B
GSK3B	RELA
RELA	USF2
GSK3B	TP53
TP53	TFAP2A
GSK3B	MYC
GSK3B	NFKB1
TRAK2	PRKAB2
PRKAB2	YY1AP1
YY1AP1	CEBPA
GSK3B	CREB1
GABRB3	MEOX2
MEOX2	RELA
GABRB3	PRKCA
PRKCA	EP300
EP300	TFAP2A
MEOX2	KAT5
KAT5	MYC
RELA	NFKB1
KAT5	CEBPA
GABRB3	PRKACA
PRKACA	CREB1
SCN4A	SLC9A3R1
SLC9A3R1	YAP1
YAP1	EP300
EP300	USF2
SLC9A3R1	YWHAZ
YWHAZ	TP53
SCN4A	CALM1
CALM1	ESR1
ESR1	MYC
SLC9A3R1	RPS3
RPS3	NFKB1
RPS3	RELA
YWHAZ	NFATC4
NFATC4	CEBPA
YAP1	CREB1
SCN2A	ANK3
ANK3	TIAM1
TIAM1	BTRC
BTRC	EP300
BTRC	MYC
BTRC	NFKB1
BTRC	RELA
TIAM1	CSNK1E
CSNK1E	NCOA3
NCOA3	CEBPA
ANK3	KCNC1
KCNC1	CAMK2A
CAMK2A	CREB1
GABRA1	PRKCD
PRKCD	EP300
PRKCD	APP
APP	MYC
PRKCD	STAT3
STAT3	NFKB1
STAT3	RELA
PRKCD	ELAVL1
ELAVL1	CEBPA
EP300	CREB1
GABRA3	SDCBP2
SDCBP2	ZCCHC10
ZCCHC10	TP53
TP53	EP300
SDCBP2	C1orf35
C1orf35	APP
SDCBP2	ZNF581
ZNF581	BANP
BANP	NFKB1
TP53	RELA
SDCBP2	BEND7
BEND7	C1QBP
C1QBP	CEBPA
TP53	CREB1
GABRA4	APP
APP	EEF1D
EEF1D	RELA
MYC	TFAP2A
APP	GSK3B
APP	MAPK8
MAPK8	CEBPA
APP	KAT5
KAT5	CREB1
GABRB1	NOD1
NOD1	UBC
UBC	BRCA1
BRCA1	USF2
NOD1	RNF34
RNF34	TP53
NOD1	HSP90AA1
HSP90AA1	MYC
NOD1	COPS6
COPS6	NFKB1
UBC	C1QBP
GABRD	UBQLN1
UBQLN1	RAD23B
RAD23B	BRCA1
UBQLN1	EPS15
EPS15	TFAP2A
UBQLN1	APP
UBQLN1	UBE3A
UBE3A	CEBPA
UBQLN1	ATXN3
ATXN3	CREB1
GABRE	CUX1
CUX1	SATB1
SATB1	EP300
GABRE	FAM189B
FAM189B	HECW2
HECW2	TFAP2A
CUX1	BIN1
BIN1	MYC
GABRE	HLA-A
HLA-A	STAT3
MYC	CEBPA
CUX1	RECQL5
RECQL5	CREB1
GABRG2	GABARAP
GABARAP	ATG7
ATG7	EP300
GABARAP	NEDD4
NEDD4	PPARG
PPARG	TFAP2A
NEDD4	YY1
YY1	MYC
GABARAP	TAX1BP1
TAX1BP1	TNIP1
TNIP1	NFKB1
GABARAP	KEAP1
KEAP1	RELA
NEDD4	SMAD3
SMAD3	CEBPA
NEDD4	AKT1
AKT1	CREB1
STAT5A	SOCS4
STAT5B	SOCS5
MAPK13	IL1B
MAPK13	IL6
MAPK13	IL12A
CEBPB	ALB
SP1	ALDH3A1
TFAP2A	CCNB1
USF2	CCNB1
CREM	CCND1
POU2F1	CCND1
