AMY2A	IGF1R
CREBBP	PFKFB4
CREBBP	PFKL
CREBBP	BCL2
CREBBP	TEK
EP300	EDN1
EP300	ENO2
EP300	SERPINE1
EP300	ANGPT4
EP300	PFKFB4
EP300	PFKL
EP300	BCL2
EP300	TEK
HIF1A	EDN1
HIF1A	ENO2
HIF1A	SERPINE1
HIF1A	ANGPT4
HIF1A	TIMP1
ARNT	EDN1
ARNT	FIGF
ARNT	HK2
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID2
YAP1	ID3
YAP1	CCND1
YAP1	AXIN1
YAP1	AXIN2
WWTR1	FGF1
WWTR1	ITGB2
WWTR1	AREG
SMAD1	ID4
SMAD4	ID2
LEF1	CCND2
TCF7	SNAI2
TCF7	CCND2
TCF7	CCND3
TCF7L2	SOX2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	SOX2
TEAD1	CCND2
TEAD4	MYC
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	BIRC5
TEAD3	AXIN2
TP73	BBC3
TCF7L1	AXIN2
TEAD2	CTGF
TEAD2	CCND1
TEAD2	AXIN2
SMAD4	SLC2A1
STAT5A	SOCS4
STAT5A	SOCS7
STAT5B	SOCS5
STAT6	SOCS4
MITF	DCT
MITF	TYRP1
MAPK1	CDK4
BBC3	TP53AIP1
TP53	STEAP3
TP53	RRM2
EPAS1	PDGFB
ETS1	MMP1
FOS	FIGF
NFKB2	TRAF2
NFKB2	BIRC7
CREB3	BCL2
ATF4	MCL1
PPARA	CYP7A1
PPARA	FABP1
PPARA	LPL
PPARD	FABP3
PPARG	CYP27A1
PPARG	ACSL4
PPARG	PLIN1
RXRA	CYP8B1
RXRA	UBC
RXRA	UCP1
RXRB	GK2
RXRB	CYP4A22
RXRB	ME1
RXRB	OLR1
RXRG	EHHADH
RXRG	FABP4
IRF7	IFNA8
IRF7	IFNA10
CREB1	CD74
MAPK14	IL12A
MAPK14	IL23A
MYD88	IFNA4
MYD88	IFNA13
NFKB1	IL18
NFYA	HLA-DOB
MAPK3	IL12A
MAPK8	NOS2
MAPK8	IL23A
MAPK9	IL23A
MAPK9	TNF
RFX5	LOC100507714
RFX5	LOC101060835
RFXAP	LOC100507714
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXAP	HLA-DMB
RFXAP	HLA-DOA
RFXAP	HLA-DOB
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
RFXAP	HLA-DRA
RFXAP	HLA-DRB1
RFXAP	HLA-DRB3
RFXAP	HLA-DRB4
RFXAP	HLA-DRB5
RFXAP	CD74
MAPK12	IL1A
MAPK12	IL1B
RFXANK	HLA-DMA
RFXANK	HLA-DRB5
RFXANK	CD74
PDX1	INS
CREB3	AQP2
CREB1	AQP2
LEF1	PPARD
ETV4	PLAUR
JUN	PLAUR
CEBPB	ALB
SP1	ALB
SP1	ALDH3A1
JUN	ALDOA
SP1	ALDOA
SMAD1	ANKRD1
SMAD3	ANKRD1
ESR1	APOE
PPARG	APOE
USF2	APOE
USF1	CTSB
USF2	CTSB
SP1	CTSL
SP3	CTSL
CREB1	CYP11A1
JUN	CYP11A1
SP3	DNASE2
SP1	EGFR
TP53	ERBB2
BRCA1	ESR1
BRCA2	ESR1
PPARG	ESR1
SP1	ESR1
STAT5A	ESR1
STAT5B	ESR1
TFAP2C	ESR1
CREB1	F3
JUN	F3
NFKB1	FN1
RELA	FN1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
FLI1	FOS
STAT1	FOS
STAT3	FOS
ETS2	FOSL1
JUN	FOSL1
JUND	FOSL1
SP1	FOSL1
CEBPA	GADD45A
CREB1	GH2
NFIC	GH2
NFKB1	ICAM1
EGR1	IFNG
REL	IFNG
STAT1	IFNG
SP1	IL2
NFKB1	IL2RA
REL	IL2RA
RELA	IL2RA
STAT1	IL2RA
STAT3	IL2RA
ESR1	JUN
ESR2	JUN
ETS2	JUN
JUN	JUN
SP1	KRT5
TFAP2A	KRT5
SP1	LCAT
SP3	LCAT
ETS1	LCK
ATF1	LDHA
CREB1	LDHA
SP1	LDHA
CREM	LDHC
EGR1	LHB
SP3	LHB
PPARA	LIPA
PPARD	LIPA
PPARG	LIPA
USF1	LIPC
ETS1	MYB
ETV4	MYB
MYB	MYB
TFAP2A	MYB
JUN	MYC
MYB	MYC
MYBL2	MYC
NFKB1	MYC
PGR	MYC
POU2F1	MYC
RELA	MYC
SP1	MYC
SP3	MYCN
MYBL1	NCL
TAL1	NFKB1
JUN	NFKB2
SP1	NFKB2
SP1	SPN
ETS2	SPP1
JUN	SPP1
POU2F2	SPP1
NFIC	STMN1
JUN	TFF1
JUN	TFPI2
REL	TNFSF10
ERG	TNNC1
FLI1	TNNC1
JUN	TNNC1
SMAD2	TNNC1
SMAD3	TNNC1
SP3	TNNC1
SP3	TNPO1
NFKB1	TP53
PAX5	TP53
STAT1	TP53
CREB1	TRH
FOS	TSHB
JUN	TXN
POU2F1	TXNRD1
USF2	TYMS
CEBPA	UBE2L3
ETS1	VWF
NFIC	VWF
