HTR2A	CBL
CBL	CTNNB1
CTNNB1	SP1
CTNNB1	ESR1
CBL	ABL1
ABL1	CREB1
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	SP1
DRD2	CALM1
CALM1	ESR1
PPP1R9B	PPP1CA
PPP1CA	CREB1
DRD3	GIPC1
GIPC1	MCM7
MCM7	RB1
RB1	SP1
GIPC1	MMS19
MMS19	ESR1
MCM7	FHL2
FHL2	CREB1
DRD4	ARRB2
ARRB2	MAPK1
MAPK1	SP1
DRD4	STUB1
STUB1	ESR1
ARRB2	AKT1
AKT1	CREB1
ADRA1B	AP2M1
AP2M1	SFPQ
SFPQ	SP1
AP2M1	HSPA8
HSPA8	ESR1
AP2M1	CLTC
CLTC	EP300
EP300	CREB1
HTR1D	HTR1B
HTR1B	MDFI
MDFI	VHL
VHL	SP1
MDFI	KAT5
KAT5	ESR1
KAT5	CREB1
ADRA2A	UCHL1
UCHL1	CTNNB1
ADRA2A	GNB1
GNB1	PAK1
PAK1	ESR1
UCHL1	TP53
TP53	CREB1
ADRA2B	UCHL1
ADRA2C	UCHL1
HTR2C	CALM1
ESR1	SP1
CALM1	AKT1
HTR1A	S1PR1
S1PR1	WWP2
WWP2	SMAD3
SMAD3	SP1
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	ESR1
HTR1A	HTR1D
DRD1	RANBP9
RANBP9	ESR1
RANBP9	NR3C1
NR3C1	CREB1
CREB3	FOSB
ARNTL	BHLHE40
TCF7L2	CCND1
E2F+P170	CCNA2
MYC	CCNB1
SP1	HMOX1
CREB1	NTS
E2F4	TOP1
SMAD4	ZFP36
