CHRM1	GPRASP2
GPRASP2	TXN
TXN	NFKB1
NFKB1	SP1
GPRASP2	AGO1
AGO1	RELA
TXN	TP53
TP53	ETS1
TXN	NR3C1
NR3C1	ETS2
GPRASP2	AGO2
AGO2	HSP90AA1
HSP90AA1	PPARA
GPRASP2	AP1G1
AP1G1	JUN
GPRASP2	KEAP1
KEAP1	SQSTM1
SQSTM1	MYD88
CHRM2	SET
SET	NR3C1
NR3C1	NFKB1
SET	TP53
TP53	SP1
SET	CCNB1
CCNB1	RELA
SET	APP
APP	AKAP13
AKAP13	PPARA
NR3C1	JUN
APP	TIRAP
TIRAP	MYD88
CHRM3	SET
CHRM3	CSNK1A1
CSNK1A1	HSP90AA1
CSNK1A1	MDM2
MDM2	MYD88
NPAS2	BHLHE41
NPAS2	PER3
CLOCK	RORB
SOS1	SPRED1
SOS1	MYC
STAT4	CCND3
STAT5A	MYC
STAT5B	CCND2
STAT6	SOCS7
RELA	CCL4
NFYA	HLA-DOB
MAPK1	IL12B
RFXAP	HLA-DOB
RARA	AKR1B1
RELA	AKR1B1
SP1	AKR1B1
POU2F1	AKR1C3
USF1	CCND1
RELA	COL1A1
RARA	GADD45B
SPI1	IL1B
PAX2	TP53
PAX8	TP53
STAT3	TRH
