HTR2A	CBL
CBL	YWHAZ
YWHAZ	TP53
CBL	GRB2
GRB2	EP300
EP300	EGR1
CBL	CTNNB1
CTNNB1	SP1
CTNNB1	HIF1A
CBL	ABL1
ABL1	CREB1
CBL	SMAD3
SMAD3	YAP1
CBL	MAPK8
MAPK8	MYC
DRD2	FLNA
FLNA	RANBP2
RANBP2	TP53
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	EGR1
CDKN2A	SP1
DRD2	EPB41L1
EPB41L1	COPS5
COPS5	HIF1A
PPP1R9B	PPP1CA
PPP1CA	CREB1
PPP1CA	YAP1
EPB41L1	APP
APP	MYC
HTR1A	S1PR1
S1PR1	TRIP6
TRIP6	PTK2
PTK2	TP53
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	PSMA3
PSMA3	EGR1
S1PR1	WWP2
WWP2	SMAD3
SMAD3	SP1
SMAD3	HIF1A
HTR1A	HTR1D
HTR1D	HTR1B
HTR1B	MDFI
MDFI	KAT5
KAT5	CREB1
YWHAQ	YAP1
WWP2	SMAD7
SMAD7	MYC
KAT5	TP53
KAT5	EP300
MDFI	VHL
VHL	SP1
VHL	HIF1A
MDFI	NAB2
NAB2	YAP1
KAT5	MYC
HTR1E	PSMC3
PSMC3	TP53
HTR1E	PSMC4
PSMC4	PSMA3
PSMC4	PSMC5
PSMC5	SP1
PSMC3	HIF1A
HTR1E	MEOX2
MEOX2	KAT5
MEOX2	PIN1
PIN1	YAP1
PSMC5	MYC
HTR2C	DLG4
DLG4	ERBB4
ERBB4	TP53
DLG4	ACTN2
ACTN2	SNAI1
SNAI1	EGR1
HTR2C	CALM1
CALM1	ESR1
ESR1	SP1
DLG4	MDM2
MDM2	HIF1A
CALM1	AKT1
AKT1	CREB1
ERBB4	YAP1
ESR1	MYC
HTR6	ATM
ATM	TP53
HTR6	CLTC
CLTC	EP300
EP300	SP1
ATM	HIF1A
ATM	CREB1
HTR6	TTI1
TTI1	YAP1
EP300	MYC
HTR7	CUL3
CUL3	YWHAZ
CUL3	GRB2
CUL3	CTNNB1
CUL3	ATF2
ATF2	CREB1
CUL3	YWHAQ
CUL3	APP
DRD1	RANBP9
RANBP9	ESR1
ESR1	TP53
ESR1	EP300
ESR1	HIF1A
RANBP9	NR3C1
NR3C1	CREB1
RANBP9	TP73
TP73	YAP1
RANBP9	APP
DRD5	GNA12
GNA12	HSP90AA1
HSP90AA1	TP53
DRD5	GNA13
GNA13	MAP3K5
MAP3K5	EP300
HSP90AA1	SP1
HSP90AA1	HIF1A
EP300	CREB1
MAP3K5	USP9X
USP9X	YAP1
GNA12	APP
DRD3	EPB41L1
COPS5	TP53
DRD3	GIPC1
GIPC1	OGT
OGT	RELA
RELA	EGR1
GIPC1	MCM7
MCM7	RB1
RB1	SP1
MCM7	HIF1A
MCM7	FHL2
FHL2	CREB1
DRD3	RDX
RDX	ENO1
ENO1	YAP1
DRD4	STUB1
STUB1	TP53
DRD4	GRB2
DRD4	ARRB2
ARRB2	MAPK1
MAPK1	SP1
STUB1	HIF1A
ARRB2	AKT1
ARRB2	YWHAQ
STUB1	MYC
ADRA1B	AP2M1
AP2M1	BCR
BCR	TP53
AP2M1	CLTC
AP2M1	SFPQ
SFPQ	SP1
EP300	HIF1A
AP2M1	RALBP1
RALBP1	AMOTL2
AMOTL2	YAP1
AP2M1	CSNK2B
CSNK2B	MYC
ADRA1D	DTNA
DTNA	NMT1
NMT1	TP53
ADRA1D	GOPC
GOPC	RELA
DTNA	NUP62
NUP62	SP1
RELA	HIF1A
ADRA1D	AMFR
AMFR	ATXN3
ATXN3	CREB1
AMFR	UBE2D1
UBE2D1	YAP1
ADRA1D	ERLIN2
ERLIN2	TUBA1A
TUBA1A	MYC
ADRA2A	UCHL1
UCHL1	TP53
TP53	EGR1
UCHL1	CTNNB1
TP53	CREB1
ADRA2A	GNAO1
GNAO1	CACNA1B
CACNA1B	UBE2L3
UBE2L3	YAP1
UCHL1	CDK4
CDK4	MYC
ADRA2B	UCHL1
ADRA2B	EIF2B1
EIF2B1	GCD2
GCD2	TSA1
TSA1	YAP1
ADRA2C	UCHL1
ADRA2C	EIF2B1
CHRM1	GPRASP2
GPRASP2	TXN
TXN	TP53
TXN	NFKB1
NFKB1	SP1
CHRM1	GPRASP1
GPRASP1	OPRD1
OPRD1	HSPA4
HSPA4	HIF1A
GPRASP2	RPS6KA5
RPS6KA5	CREB1
TXN	PRDX1
PRDX1	YAP1
GPRASP2	EIF3E
EIF3E	FBXW7
FBXW7	MYC
CHRM2	SET
SET	TP53
TP53	SP1
TP53	HIF1A
SET	NR3C1
SET	XPO1
XPO1	YAP1
SET	APP
CHRM3	SET
CREBBP	PGF
HIF1A	VEGFC
MAPK9	NOS2
MAPK9	TNF
RFX5	HLA-DRB3
RFX5	HLA-DRB4
RFXANK	HLA-DMA
TP53	CHEK1
SP3	CHI3L1
CREB1	GH2
NFIC	GH2
