SLC22A6	APP
APP	MAPK8
MAPK8	SP1
APP	KAT5
KAT5	CREB1
APP	EEF1D
EEF1D	HCFC1
HCFC1	E2F4
APP	PHF8
PHF8	RARA
MAPK8	TP53
APP	MCM7
MCM7	HIF1A
APP	CDC20
CDC20	CREBBP
MAPK8	EP300
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	ARNT
MAPK8	JUN
APP	MAPK7
MAPK7	ETS1
MAPK8	CEBPA
CEBPA	RARB
MAPK8	NCOA3
NCOA3	RARG
MAPK8	ATF2
ATF2	ATF1
APP	GSK3B
GSK3B	NFKB1
EEF1D	RELA
APP	MYC
MYC	RUNX1
APP	APBB1
APBB1	HDAC1
HDAC1	RUNX1T1
PSEN2	APH1A
APH1A	ATF4
HCFC1	CREB3
APP	CUL3
CUL3	NXF1
NXF1	ATF6B
ELAVL1	CREB3L2
CUL3	PGRMC1
PGRMC1	CREB3L1
MAPK8	TRAF2
TRAF2	CREB5
KAT5	E2F1
APP	AKAP13
AKAP13	PPARA
MAPK8	CTNNB1
CTNNB1	PPARD
APP	CSNK1D
CSNK1D	PML
APP	DNM2
DNM2	ZBTB16
APP	HSPA8
HSPA8	POU2F1
APP	RFX5
RFX5	PPARG
MAPK8	HSF1
APP	TAF6
TAF6	YAP1
MAPK7	FOS
MAPK8	STAT3
KAT5	BRCA1
CSNK1D	SMAD4
ELAVL1	NFIC
APP	ELK1
ELK1	FLI1
APP	HGS
HGS	DAZAP2
DAZAP2	LEF1
GSK3B	RXRA
AKAP13	RXRB
MAPK8	NR4A1
NR4A1	RXRG
DAZAP2	TCF7
APP	FBLN1
FBLN1	TCF7L2
DAZAP2	TCF7L1
HGS	INSR
INSR	TEAD1
MCM7	TRIM27
TRIM27	TEAD4
E2F1	TEAD3
GSK3B	CEBPB
MYC	TFAP2A
GSK3B	SMAD3
RELA	SP3
EP300	PAX6
APP	SHC1
SHC1	SOS1
SHC1	SOS2
APP	HDAC4
HDAC4	STAT1
CSNK1D	SMAD2
MAPK8	JUND
MYC	ZBTB17
MAPK8	PIAS2
MYC	GLI1
HDAC1	GLI2
HDAC1	GLI3
MCM7	EPAS1
GSK3B	SMAD1
ELAVL1	SMAD5
KAT5	NOTCH1
NOTCH1	SMAD9
APP	C9orf41
C9orf41	NR3C2
PANX1	GNAS
GNAS	C1QBP
C1QBP	PRKCZ
PRKCZ	SP1
GNAS	RUVBL1
RUVBL1	CREBBP
CREBBP	CREB1
C1QBP	CEBPA
CEBPA	E2F4
RUVBL1	RARA
GNAS	AXIN1
AXIN1	TP53
GNAS	GIPC1
GIPC1	MCM7
C1QBP	PRKCD
PRKCD	EP300
RUVBL1	ELAVL1
C1QBP	PRKD1
PRKD1	JUN
CREBBP	ETS1
C1QBP	MRPL12
MRPL12	RARG
CREBBP	ATF1
C1QBP	NFKBIE
NFKBIE	NFKB1
GIPC1	OGT
OGT	RELA
GNAS	PAICS
PAICS	STUB1
STUB1	RUNX1
RUVBL1	KPNB1
KPNB1	RUNX1T1
GNAS	SHMT2
SHMT2	ATF4
CREBBP	ATF2
SHMT2	CREB3
SHMT2	NFYA
NFYA	ATF6B
CEBPA	Fbxw7
Fbxw7	CREB3L1
GNAS	GNG5
GNG5	MDFI
MDFI	CREB5
C1QBP	PHB
PHB	E2F1
C1QBP	DAP3
DAP3	PPARA
RUVBL1	CTNNB1
AXIN1	PML
CEBPA	ZBTB16
C1QBP	HSPA8
C1QBP	PRKCA
PRKCA	PPARG
GNAS	NUCB1
NUCB1	CBS
CBS	HSF1
C1QBP	AHCYL1
AHCYL1	YAP1
CEBPA	FOS
GNAS	HLA-A
HLA-A	STAT3
NUCB1	RAD23B
RAD23B	BRCA1
RUVBL1	LEF1
LEF1	SMAD4
AXIN1	MYC
PRKCD	FLI1
RUVBL1	UBE2I
UBE2I	RXRA
RARA	RXRB
RARA	RXRG
LEF1	DAZAP2
CTNNB1	TCF7L2
CTNNB1	TCF7L1
PRKCD	INSR
GNG5	GOLGA2
GOLGA2	TEAD4
C1QBP	PHB2
PHB2	TEAD3
CEBPA	CEBPB
GIPC1	SH3BP4
SH3BP4	TFAP2A
CREBBP	SMAD3
CREBBP	SP3
RUVBL1	AR
AR	PAX6
GNAS	RIC8A
RIC8A	PLCG1
PLCG1	SOS1
PLCG1	SOS2
GNAS	GNB2
GNB2	STAT1
CREBBP	SMAD2
CREBBP	ELK1
ELAVL1	JUND
PAICS	HSPB1
HSPB1	ZBTB17
GOLGA2	PIAS2
AXIN1	SKI
SKI	GLI2
PRKCA	GLI3
STUB1	SMAD1
PRKCA	HMGA2
HMGA2	SMAD9
SHMT2	CAND1
CAND1	NR3C2
PML	JUP
RARA	JUP
ZBTB16	JUP
RUNX1	JUP
RUNX1T1	JUP
NR3C2	KRAS
NR3C2	ATP1A2
NFKB1	BIRC2
RELA	BIRC2
GLI1	BMP2
GLI1	BMP4
GLI2	BMP2
GLI2	BMP4
GLI3	BMP2
GLI3	BMP4
SMAD2	CDKN2B
SMAD3	CDKN2B
SMAD4	CDKN2B
TP53	GADD45B
ZBTB17	CDKN2B
JUN	CDK5
LEF1	BIRC5
TCF7	BIRC5
TCF7L2	BIRC5
TCF7L1	BIRC5
ELK1	BIRC2
CREB3	PCNA
CREB1	PCNA
ATF2	PCNA
ATF6B	PCNA
ATF4	PCNA
CREB3L2	PCNA
TP53	CDKN1B
CREB3L1	PCNA
CREB5	PCNA
CREBBP	CDKN1B
CREBBP	LTBR
CREBBP	PFKL
CREBBP	PGF
CREBBP	TFRC
CREBBP	VEGFB
EP300	CDKN1B
EP300	LTBR
EP300	PFKL
EP300	PGF
EP300	TFRC
EP300	VEGFB
HIF1A	CDKN1B
HIF1A	LTBR
HIF1A	PFKL
HIF1A	PGF
HIF1A	TFRC
HIF1A	VEGFB
ARNT	CDKN1B
ARNT	LTBR
ARNT	PFKL
ARNT	PGF
ARNT	TFRC
ARNT	VEGFB
YAP1	BIRC2
YAP1	BIRC5
YAP1	ID3
SMAD1	ID3
SMAD4	ID3
LEF1	BIRC2
TCF7	BIRC2
TCF7L2	BIRC2
TEAD1	BIRC2
TEAD1	BIRC5
TEAD4	BIRC2
TEAD4	BIRC5
TEAD3	BIRC2
TEAD3	BIRC5
TCF7L1	BIRC2
SOS1	SPRY2
SOS2	SPRY2
HSF1	HSPA1A
HSF1	HSPA8
NFKB1	GADD45B
RELA	GADD45B
TP53	SESN1
TP53	PTEN
TP53	BAX
TP53	RRM2
TP53	PPM1D
TP53	TP53I3
NFKB1	PGF
NFKB1	VEGFB
RELA	PGF
RELA	VEGFB
STAT1	PGF
STAT1	VEGFB
STAT3	PGF
STAT3	VEGFB
EPAS1	PGF
EPAS1	VEGFB
ETS1	PGF
ETS1	VEGFB
FOS	PGF
FOS	VEGFB
JUN	PGF
JUN	VEGFB
MYC	CKS1B
MYC	PGF
MYC	VEGFB
PIAS2	CDKN2B
PPARA	DBI
PPARA	ACAA1
PPARA	ACADM
PPARA	ACOX3
PPARD	FABP3
PPARD	ACADL
PPARD	ACOX3
RXRA	DBI
RXRA	FABP3
RXRA	ACAA1
RXRA	ACADL
RXRA	ACADM
RXRA	ACOX3
RXRB	DBI
RXRB	FABP3
RXRB	ACAA1
RXRB	ACADL
RXRB	ACADM
RXRB	ACOX3
RXRG	DBI
RXRG	FABP3
RXRG	ACAA1
RXRG	ACADL
RXRG	ACADM
RXRG	ACOX3
CREBBP	CDKN2B
EP300	CDKN2B
SMAD5	ID3
SMAD9	ID3
SP1	CDKN2B
NFKB1	CEBPB
NFKB1	CEBPG
RELA	CEBPB
RELA	CEBPG
POU2F1	AKR1C2
POU2F1	AKR1C3
SP1	APEX1
ATF1	AQP3
CREB1	AQP3
SP1	CD44
POU2F1	CD79A
E2F4	CDC45
E2F1	CDC45
E2F4	CDC6
TP53	CHEK1
ETS1	COX4I1
SP1	COX4I1
RARA	CRABP2
RARB	CRABP2
RARG	CRABP2
CEBPB	CSRP1
STAT3	CSRP1
SP3	DNASE2
ETS1	DNTT
ATF1	ERBB2
CREB1	ERBB2
ELK1	ERBB2
TFAP2A	ERBB2
TP53	ERBB2
NFKB1	FBP1
PPARA	GADD45B
PPARD	GADD45B
PPARG	GADD45B
RARA	GADD45B
NFIC	GOT1
CEBPA	GPX4
TFAP2A	GPX4
CREB1	GSTP1
FOS	GSTP1
E2F1	HIST1H2AM
NFIC	HRAS
SP1	HRAS
NFIC	HSPA1A
TFAP2A	HSPA1A
SP1	HSPA8
CEBPA	IVL
JUN	IVL
JUND	IVL
TFAP2A	KRT14
SP1	KRT18
PPARA	LIPA
PPARD	LIPA
PPARG	LIPA
HIF1A	MDK
FOS	NQO1
JUND	NQO1
E2F4	PCNA
BRCA1	PCNA
TP53	PCNA
PAX6	PDHX
TP53	PLK1
E2F4	POLE2
NFIC	POLE2
CEBPA	PREB
ATF1	TFRC
CREB1	TFRC
ETS1	TFRC
JUN	TFRC
E2F4	TK1
CEBPA	TK1
ETS1	TNNC1
FLI1	TNNC1
JUN	TNNC1
NFKB1	TNNC1
SMAD2	TNNC1
SMAD3	TNNC1
SMAD4	TNNC1
SP3	TNNC1
E2F4	TOP1
CEBPB	TOP1
SP1	TPI1
JUN	TXN
FLI1	UPP1
