CHRM1	GPRASP2
GPRASP2	TRIM32
TRIM32	RXRA
GPRASP2	TXN
TXN	NR3C1
NR3C1	RXRB
TRIM32	RARA
RARA	RXRG
GPRASP2	LRIF1
LRIF1	PPARG
GPRASP2	AGO1
AGO1	STUB1
STUB1	FOXO1
GPRASP2	EIF3E
EIF3E	ATM
ATM	FOXO3
TXN	NFKB1
NFKB1	SP1
GPRASP2	AP1G1
AP1G1	JUN
AGO1	RELA
CHRM2	Set
Set	Cdk4
Cdk4	CTCF
CTCF	RXRA
CHRM2	SET
SET	NR3C1
NR3C1	NCOR2
NCOR2	RXRG
NR3C1	PPARG
Set	Tcp1
Tcp1	Ubc
Ubc	FOXO1
SET	APP
APP	MYC
MYC	FOXO3
SET	TP53
TP53	SP1
NR3C1	JUN
NR3C1	NFKB1
SET	CCNB1
CCNB1	RELA
CHRM3	SET
APP	GSK3B
GSK3B	RXRA
CHRM3	CSNK1A1
CSNK1A1	MDM2
MDM2	FOXO1
MDM2	FOXO3
LEF1	SNAI2
LEF1	SOX2
NFKB1	PGF
NFKB1	VEGFB
MYC	MMP2
MYC	VEGFB
NFKB1	TRAF3
CREB3	BCL2
ATF2	MCL1
FOXO3	BCL2L11
FOXO3	PCK2
PPARA	LPL
PPARA	ANGPTL4
PPARA	SCD5
PPARD	CPT1C
PPARG	PLIN1
PPARG	SCD5
RXRA	SLC27A4
RXRA	CPT2
NFYA	HLA-DPA1
NFYC	LOC100507709
USF2	CALCA
PPARG	EGFR
STAT5B	ESR1
TFAP2C	ESR1
CREB1	F3
POU2F1	IL4
POU2F2	IL4
