ADORA1	GNAI2
GNAI2	ITCH
ITCH	TP53
TP53	CREB1
ITCH	TP63
TP63	NFKB1
GNAI2	NPM1
NPM1	RELA
NPM1	BRCA1
BRCA1	USF2
ADORA2A	DRD2
DRD2	PPP1R9B
PPP1R9B	PPP1CA
PPP1CA	CREB1
DRD2	FLNA
FLNA	REL
REL	NFKB1
REL	RELA
REL	EP300
EP300	USF2
PDE4B	MAGEA11
MAGEA11	EP300
EP300	CREB1
EP300	NFKB1
EP300	RELA
RYR1	RYR2
RYR2	PPP1CA
RYR1	FKBP1A
FKBP1A	TXN
TXN	NFKB1
RYR2	PRKACA
PRKACA	RELA
FKBP1A	TGFBR1
TGFBR1	EP300
PDE1A	APP
APP	KAT5
KAT5	CREB1
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
RELA	USF2
PDE4A	SQSTM1
SQSTM1	MAPK14
MAPK14	CREB1
SQSTM1	CUL3
CUL3	NFKB1
SQSTM1	PRKCZ
PRKCZ	RELA
SQSTM1	BCL2
BCL2	BRCA1
PDE4C	SRI
SRI	STAT3
STAT3	EP300
STAT3	NFKB1
STAT3	RELA
PDE4D	APP
PDE4D	MDM2
MDM2	RELA
MDM2	EP300
PDE3A	UBE4B
UBE4B	TP53
PDE3A	JUP
JUP	NFKBIE
NFKBIE	NFKB1
NFKBIE	RELA
PDE3A	GANAB
GANAB	MAPK8
MAPK8	EP300
PDE9A	SULT1E1
SULT1E1	TP53
PDE9A	GORASP2
GORASP2	CUL3
TP53	RELA
PDE9A	BAG3
BAG3	USF1
USF1	USF2
PRKDC	BRCA1
BRCA1	CREB1
PRKDC	NR3C1
NR3C1	NFKB1
BRCA1	RELA
PIK3CD	PIK3R1
PIK3R1	EP300
PIK3CD	PIK3R2
PIK3R2	HSPA8
HSPA8	RELA
PIK3CA	AKT1
AKT1	CREB1
PIK3CA	SMAD3
SMAD3	EP300
SMAD3	PML
PML	RELA
PIK3CB	CBL
CBL	ABL1
ABL1	CREB1
CBL	HSPA4
HSPA4	NFKB1
CBL	HSPA8
PIK3CB	PIK3R1
ITPR1	BRCA1
BRCA1	EP300
ITPR3	CAV1
CAV1	PPP1CA
CAV1	CTNNB1
CTNNB1	EP300
CAV1	ESR1
ESR1	RELA
ATM	CREB1
ATM	RELA
RELA	NFKB1
ATM	BRCA1
STAT4	SOCS5
STAT5B	SOCS3
RXRB	PCK1
MYD88	IFNA13
SP3	DKC1
SP3	IGFBP3
CEBPB	IL1B
