ADRA1B	AP2M1
AP2M1	CLTC
CLTC	EP300
EP300	NFKB1
AP2M1	PRKDC
PRKDC	PGR
AP2M1	BCR
BCR	TP53
AP2M1	SFPQ
SFPQ	SP3
AP2M1	CRY1
CRY1	ARNTL
CRY1	NPAS2
AP2M1	CSNK2B
CSNK2B	CLOCK
SFPQ	AR
ADRA1D	GOPC
GOPC	RELA
RELA	NFKB1
ADRA1D	DTNA
DTNA	ACTB
ACTB	EP300
EP300	PGR
DTNA	NMT1
NMT1	TP53
RELA	SP3
EP300	ARNTL
EP300	NPAS2
EP300	CLOCK
RELA	AR
KCNH2	YWHAE
YWHAE	HDAC4
HDAC4	NFKB1
KCNH2	HSPA8
HSPA8	ESR1
ESR1	PGR
HSPA8	TP53
ESR1	SP3
KCNH2	HSP90AA1
HSP90AA1	ARNTL
HSP90AA1	NPAS2
HSPA8	PPP1CA
PPP1CA	CLOCK
HSP90AA1	AR
GLI3	WNT8B
NR1H4	SLC51B
E2F3	CCNE1
PIK3CB	PDPK1
USF1	CTSB
USF2	CTSB
SP1	CTSL
SP3	CTSL
ATF1	TH
CREB1	TIMP1
STAT1	TIMP1
