HTR1B	MDFI
MDFI	PIN1
PIN1	JUN
MDFI	VHL
VHL	SP1
MDFI	KAT5
KAT5	EP300
EP300	ETS1
EP300	NFKB1
KAT5	RELA
EP300	FOS
KAT5	MYC
EP300	STAT1
MDFI	MYOD1
MYOD1	CREBBP
VHL	HIF1A
EP300	ARNT
MYOD1	STAT3
PIN1	RARA
VHL	EPAS1
PIN1	PML
MDFI	SPRY2
SPRY2	ZBTB16
HTR1D	HTR1B
HTR1D	S1PR1
S1PR1	WWP2
WWP2	SMAD3
SMAD3	FOS
S1PR1	GNAI3
GNAI3	XPO1
XPO1	STAT1
HTR1A	S1PR1
S1PR1	TRIP6
TRIP6	CREB5
CREB5	JUN
SMAD3	SP1
GNAI3	YWHAQ
YWHAQ	NCOA3
NCOA3	ETS1
YWHAQ	E2F1
E2F1	NFKB1
TRIP6	UBE2C
UBE2C	RELA
WWP2	SMAD7
SMAD7	MYC
TRIP6	SRC
SRC	CREBBP
SMAD3	EP300
SMAD3	HIF1A
YWHAQ	NCOA1
NCOA1	ARNT
GNAI3	GNB2
GNB2	STAT3
TRIP6	AJUBA
AJUBA	RARA
SMAD3	EPAS1
SMAD3	PML
TRIP6	Hoxa1
Hoxa1	ZBTB16
PML	CCNA1
RARA	CCNA1
ZBTB16	CCNA1
MAPK8	SMAD4
CREBBP	PDK1
EP300	PDK1
HIF1A	PDK1
NFKB1	CXCL2
NFKB1	NFKBIA
NFKB1	TNFAIP3
NFKB1	CCL4L1
RELA	NFKB2
RELB	TNFSF13B
PIK3R5	PDPK1
PIK3CG	AKT2
PIK3R3	AKT2
RFX5	HLA-DQA1
PDX1	INS
USF1	APOC3
USF2	APOC3
MYB	NCL
TP53	NFIC
BCL3	NFKB2
