HTR2A	CBL
CBL	CTNNB1
CTNNB1	SP1
CBL	HSPA4
HSPA4	NFKB1
CBL	HSPA8
HSPA8	RELA
CBL	GRB2
GRB2	EP300
EP300	ZBTB17
CBL	MAPK8
MAPK8	PIAS2
GRB2	TSG101
TSG101	NFKB2
CBL	ABL1
ABL1	CREB1
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	SP1
DRD2	FLNA
FLNA	REL
REL	NFKB1
REL	RELA
DRD2	CALM1
CALM1	HSP90AA1
HSP90AA1	ZBTB17
CDKN2A	PIAS2
REL	NFKB2
PPP1R9B	PPP1CA
PPP1CA	CREB1
GLI3	BMP4
STAT4	SOCS3
STAT5B	SOCS7
STAT5B	CCND3
RBPJ	HES1
TP53	GTSE1
TP53	BAI1
TP53	PERP
RXRA	ACSL5
CREB1	HLA-DPB1
SP3	CYP17A1
PPARA	CYP1A1
CREM	ICAM1
POU2F1	TFPI2
