ADRA1B	AP2M1
AP2M1	CSNK2B
CSNK2B	RXRA
AP2M1	SFPQ
SFPQ	NR3C1
NR3C1	RXRB
SFPQ	PPARG
PPARG	RXRG
AP2M1	EEF1A1
EEF1A1	GADD45G
GADD45G	PPARA
AP2M1	BCR
BCR	TP53
AP2M1	APC
APC	CREBBP
AP2M1	CLTC
CLTC	EP300
EP300	HIF1A
EP300	ARNT
ADRA1D	GOPC
GOPC	RELA
RELA	RXRA
ADRA1D	SNTB2
SNTB2	ABCA1
ABCA1	NR1H2
NR1H2	RXRB
NR1H2	RXRG
RELA	PPARA
ADRA1D	DTNA
DTNA	NMT1
NMT1	TP53
ABCA1	CREBBP
DTNA	ACTB
ACTB	EP300
RELA	HIF1A
ADRA2A	UCHL1
UCHL1	UBE2I
UBE2I	RXRA
ADRA2A	GNAI2
GNAI2	MDFI
MDFI	NR1H2
GNAI2	TRIP6
TRIP6	AJUBA
AJUBA	RXRG
UBE2I	PPARA
UCHL1	TP53
UCHL1	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
CTNNB1	HIF1A
UCHL1	HSP90AA1
HSP90AA1	ARNT
ADRA2B	UCHL1
CTNNB1	PPARG
PPARG	RXRB
ADRA2C	UCHL1
ADRB1	ARRB2
ARRB2	MAPK1
MAPK1	RXRA
ARRB2	MLLT4
MLLT4	NR2C2
NR2C2	RXRB
ARRB2	RPA1
RPA1	CUL1
CUL1	RXRG
ARRB2	CDK3
CDK3	PPARA
ARRB2	IGF1R
IGF1R	TP53
ARRB2	CSK
CSK	CREBBP
ARRB2	HSPA5
HSPA5	EP300
ARRB2	CAPN1
CAPN1	HIF1A
ADRB1	ARRB1
ARRB1	HSP90AA1
ADRB2	SRC
SRC	RXRA
ADRB2	TSG101
TSG101	NR3C1
SRC	THRB
THRB	RXRG
ADRB2	STAT3
STAT3	RELA
TSG101	TP53
ADRB2	REL
REL	CREBBP
STAT3	EP300
STAT3	HIF1A
STAT3	PML
PML	ARNT
ADRB3	SRC
THRB	RXRB
RXRA	PPARA
SRC	TP53
SRC	CREBBP
SRC	STAT3
CREBBP	EDN1
CREBBP	PFKFB4
CREBBP	HKDC1
EP300	EDN1
EP300	PFKFB4
EP300	HKDC1
HIF1A	EDN1
HIF1A	PFKFB4
HIF1A	HKDC1
ARNT	EDN1
ARNT	PFKFB4
ARNT	HKDC1
TP53	BAX
PPARA	DBI
PPARA	FADS2
RXRA	DBI
RXRA	ILK
RXRA	FADS2
RXRB	DBI
RXRB	ILK
RXRB	FADS2
RXRG	DBI
RXRG	ILK
RXRG	FADS2
