CACNA1C	COPS5
COPS5	VHL
VHL	GLI1
COPS5	CTNNB1
CTNNB1	HDAC1
HDAC1	GLI2
COPS5	FBXW11
FBXW11	GLI3
COPS5	JUN
CTNNB1	CREBBP
CTNNB1	EP300
CACNA2D1	NDUFS4
NDUFS4	APP
APP	MYC
MYC	GLI1
CACNA2D1	RAB11A
RAB11A	RAB5A
RAB5A	APPL1
APPL1	HDAC1
RAB11A	YWHAG
YWHAG	GSK3A
GSK3A	GLI3
RAB5A	AP1G1
AP1G1	JUN
RAB11A	RCHY1
RCHY1	AR
AR	CREBBP
RAB5A	PIK3R1
PIK3R1	EP300
CACNG1	VAPA
VAPA	APP
VAPA	PHB2
PHB2	HDAC1
VAPA	UQCRB
UQCRB	PRKCA
PRKCA	GLI3
APP	MAPK8
MAPK8	JUN
APP	CDC20
CDC20	CREBBP
MAPK8	EP300
CACNA1S	SRI
SRI	STAT3
STAT3	HDAC2
HDAC2	GLI1
STAT3	HDAC1
HDAC1	GLI3
STAT3	JUN
SRI	TCF12
TCF12	CREBBP
STAT3	EP300
CACNA1H	KLHL1
KLHL1	CACNA1A
CACNA1A	AP2M1
AP2M1	NUMB
NUMB	GLI1
CACNA1A	NOTCH1
NOTCH1	HDAC1
KLHL1	Csk
Csk	CSK
CSK	CREBBP
CREBBP	GLI3
CSK	JUN
NOTCH1	EP300
CREB3L1	FOS
RELA	BIRC7
GLI1	WNT2B
NPAS2	RORC
ELK1	BIRC3
CREB3L4	PCNA
RELA	TNF
CREBBP	EPO
STAT1	EGFR
MYC	PTMA
RARB	S100A8
PPARA	SERPINE1
NFKB1	TP53
