DRD1	RANBP9
RANBP9	NR3C1
NR3C1	NFKB1
RANBP9	ESR1
ESR1	RELA
RANBP9	TRAF6
TRAF6	IRF7
RANBP9	HDAC6
HDAC6	MYD88
ESR1	EP300
EP300	EGR1
DRD5	GNA13
GNA13	MAP3K5
MAP3K5	EP300
EP300	NFKB1
EP300	RELA
MAP3K5	TNFAIP3
TNFAIP3	IRF7
MAP3K5	TRAF6
TRAF6	MYD88
DRD2	FLNA
FLNA	REL
REL	NFKB1
REL	RELA
DRD2	CALM1
CALM1	GCLM
GCLM	IRF7
DRD2	PAWR
PAWR	SQSTM1
SQSTM1	MYD88
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	EGR1
ADRA2A	UCHL1
UCHL1	COPS5
COPS5	NFKB1
ADRA2A	GNAI2
GNAI2	NPM1
NPM1	RELA
UCHL1	TP53
TP53	IRF7
GNAI2	ITCH
ITCH	MDM2
MDM2	MYD88
TP53	EGR1
HTR2A	CBL
CBL	HSPA4
HSPA4	NFKB1
CBL	HSPA8
HSPA8	RELA
CBL	SMAD3
SMAD3	IRF7
CBL	STAP2
STAP2	MYD88
CBL	GRB2
GRB2	EP300
IRF7	IFNA4
IRF7	IFNA16
MYD88	IFNA4
MYD88	IFNA16
NFKB1	CEBPB
RELA	CEBPB
EGR1	CD9
EGR1	FCER2
