GLI3	WNT4
ELK1	CCND1
MAPK8	SMAD4
CREB3L2	PCNA
CREBBP	PDK1
CREBBP	SLC2A1
EP300	PDK1
EP300	SLC2A1
HIF1A	PDK1
STAT4	SOCS5
STAT5B	SOCS3
MAPK1	CDK4
NFKB1	CXCL2
NFKB1	NFKBIA
RELB	TNFSF13B
PIK3R5	PDPK1
PIK3CG	AKT2
PIK3R3	AKT2
TP53	SESN1
EPAS1	TGFB2
MYC	CKS1B
CREB1	HLA-DRA
CREB1	HLA-DRB1
CREB1	HLA-DRB3
CREB1	HLA-DRB4
MAPK3	IL12A
MAPK8	TNF
MAPK11	IL1A
MAPK13	IL1B
MAPK13	IL6
MAPK13	IL12A
TCF7L2	MMP7
TCF7L2	PPARD
TCF7L2	FOSL1
TCF7L1	JUN
TCF7L1	MMP7
TCF7L1	PPARD
TCF7L1	FOSL1
CEBPA	TWF2
CEBPA	TSC22D3
FOS	PLAUR
HIF1A	HSP90B1
MYB	CDK1
CEBPA	ADH7
HIF1A	ADM
TFAP2A	ADM
CREB1	ADRA1A
SP1	ADRA1A
USF1	APOC3
USF2	APOC3
ESR1	APOE
E2F+P170	CCNA2
MYC	CCNB1
SP1	CEACAM5
USF1	CEACAM5
USF2	CEACAM5
USF2	CEACAM6
NFKB1	HMOX1
SMAD7	HMOX1
SP1	HMOX1
STAT3	HMOX1
ETS1	HPGD
CEBPB	IGF2
EGR1	IGF2
WT1	IGF2
FLI1	IGFBP3
SP1	IGFBP3
SP3	IGFBP3
TFAP2A	IGFBP3
CEBPB	IL1A
CEBPD	IL1A
SP1	IL1A
ATF1	IL1B
CEBPB	IL1B
CREB1	IL6
EGR1	IL6
ESR1	MYC
EGR1	TFPI2
