HTR1B	MDFI
MDFI	KAT5
KAT5	RELA
MDFI	MYOD1
MYOD1	KAT2B
KAT2B	PTF1A
PTF1A	RBPJL
KAT5	RBPJ
KAT5	CREB1
MDFI	PIN1
PIN1	JUN
MDFI	VHL
VHL	SP1
KAT5	EP300
EP300	ETS1
EP300	NFKB1
HTR1D	HTR1B
HTR1A	S1PR1
S1PR1	TRIP6
TRIP6	UBE2C
UBE2C	RELA
TRIP6	UBE4B
UBE4B	TRIP12
TRIP12	PTF1A
S1PR1	WWP2
WWP2	NOTCH3
NOTCH3	RBPJ
HTR1A	HTR1D
TRIP6	CREB5
CREB5	JUN
WWP2	SMAD3
SMAD3	SP1
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	NCOA3
NCOA3	ETS1
YWHAQ	E2F1
E2F1	NFKB1
CLOCK	BHLHE41
CLOCK	BHLHE40
CLOCK	PER3
CLOCK	NR1D1
FOSB	CDK5
FOSB	GRIA2
RXRB	PCK1
MYD88	IFNA13
RFX5	HLA-DRB5
USF1	APOC3
USF2	APOC3
ATF4	ASNS
BRCA1	ESR1
STAT5B	ESR1
TFAP2C	ESR1
CREB1	F3
RELA	ICAM1
SPI1	ICAM1
RELA	IL2
JUN	TSHB
SP1	TTR
JUN	TXN
TP53	TYMS
USF1	TYMS
USF2	TYMS
