STAT3	PIM1
NR3C2	KRAS
NR3C2	ATP1A3
NR3C2	ATP1B2
NR3C2	FXYD4
NR3C2	SCNN1G
CREB3	FOS
CREB1	FOS
ATF2	FOS
GLI3	PTCH1
JUN	CCND3
CREB1	IL8
CREB1	PCNA
CREB3L3	PCNA
CREB5	PCNA
CREBBP	CDKN1A
CREBBP	TIMP1
CREBBP	HKDC1
EP300	CDKN1A
EP300	TIMP1
EP300	HKDC1
HIF1A	CDKN1A
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
TEAD1	BIRC2
SOS1	CCND2
SOS1	CCND3
SOS2	SPRY3
TCF7L2	MITF
VDR	TRPV6
NFKB1	GADD45B
NFKB1	BCL2A1
NFKB1	VCAM1
RELA	BCL2A1
PIK3CD	AKT1
ETS1	MMP1
MAX	CKS1B
NFKB2	TRAF5
CREB3	BCL2
PPARA	DBI
PPARA	LPL
PPARG	ACSL1
PPARG	PLIN1
RXRG	EHHADH
IRF7	IFNA8
MAPK8	TNF
MAPK11	IL1A
MAPK9	NOS2
TFAP2A	ADRA1A
CREB1	ADRB2
CEBPB	AFP
NFIC	AFP
SP1	AGT
EGR1	AKR1B1
NFKB1	AKR1B1
CEBPB	ALB
SP1	ALB
SP1	ALDH3A1
JUN	ALDOA
SP1	ALDOA
POU2F1	ALDOC
SMAD1	ANKRD1
SMAD3	ANKRD1
SP3	DKC1
BCL6	NFKB1
ATF1	PLAUR
E2F4	POLA
MYB	POLA
CREB1	POLD2
TFAP2A	POLD2
FLI1	POLR2G
ATF1	PPP2R4
CEBPA	PREB
JUN	TFPI2
