CACNA1G	RANBP9
RANBP9	ESR1
ESR1	CREBBP
ESR1	EP300
ESR1	HIF1A
EP300	ARNT
RANBP9	NR3C1
NR3C1	JUN
RANBP9	UBE2I
UBE2I	ETS1
UBE2I	RXRA
NR3C1	RXRB
RANBP9	THRB
THRB	RXRG
ESR1	TP53
NR3C1	POU2F1
ESR1	NCOR2
NCOR2	PPARD
NR3C1	NFKB1
RANBP9	APP
APP	MYC
ESR1	RELA
ESR1	STAT3
JUN	NFKB1
CREBBP	ENO1
CREBBP	PDK1
CREBBP	VEGFC
EP300	ENO1
EP300	PDK1
EP300	VEGFC
HIF1A	ENO1
HIF1A	PDK1
HIF1A	VEGFC
ARNT	ENO1
ARNT	PDK1
ARNT	VEGFC
STAT3	MYC
NFKB1	VEGFC
RELA	VEGFC
STAT3	VEGFC
ETS1	VEGFC
JUN	VEGFC
MYC	VEGFC
PPARD	ILK
PPARD	ACOX3
RXRA	ILK
RXRA	ACOX3
RXRB	ILK
RXRB	ACOX3
RXRG	ILK
RXRG	ACOX3
POU2F1	ALDOC
MYC	MYC
JUN	MYC
NFKB1	MYC
POU2F1	MYC
RELA	MYC
TP53	MYC
ETS1	NFKB1
TP53	S100B
