CACNA1C	COPS5
COPS5	CTNNB1
CTNNB1	PPARG
COPS5	TP53
TP53	CREB1
TP53	TFAP2A
COPS5	ESR1
ESR1	RELA
CACNA1S	SRI
SRI	STAT3
STAT3	PML
PML	PPARG
STAT3	EP300
EP300	CREB1
SRI	ANXA7
ANXA7	TP53
EP300	TFAP2A
STAT3	RELA
CACNA1G	RANBP9
RANBP9	NR3C1
NR3C1	PPARG
NR3C1	CREB1
RANBP9	ESR1
ESR1	TP53
RANBP9	APP
APP	MYC
MYC	TFAP2A
CACNA1H	KLHL1
KLHL1	Csk
Csk	CSK
CSK	CREBBP
CREBBP	PPARG
CREBBP	CREB1
KLHL1	CACNA1A
CACNA1A	HECW1
HECW1	TP53
Csk	Crebbp
Crebbp	EPAS1
EPAS1	TFAP2A
CREBBP	RELA
DRD2	FLNA
FLNA	ITGB1
ITGB1	PRKCA
PRKCA	PPARG
DRD2	PPP1R9B
PPP1R9B	PPP1CA
PPP1CA	CREB1
FLNA	RANBP2
RANBP2	TP53
FLNA	LMNA
LMNA	RB1
RB1	TFAP2A
FLNA	REL
REL	RELA
DRD1	RANBP9
DRD5	GNA13
GNA13	MAP3K5
MAP3K5	EP300
EP300	PPARG
DRD5	GNA12
GNA12	HSP90AA1
HSP90AA1	TP53
EP300	RELA
CHRM1	GPRASP2
GPRASP2	LRIF1
LRIF1	PPARG
GPRASP2	RPS6KA5
RPS6KA5	CREB1
GPRASP2	TXN
TXN	TP53
GPRASP2	AGO1
AGO1	RELA
CHRM2	SET
SET	NR3C1
SET	TP53
SET	CCNB1
CCNB1	RELA
CHRM3	SET
NFYA	HLA-DOA
TP53	APAF1
USF1	XRCC6
USF1	SERPINE1
RELA	IL2
