AMY2A	IGF1R
IGF1R	EGFR
EGFR	AR
AR	PAX6
IGF1R	TP53
EGFR	STAT3
IGF1R	CSK
CSK	JUN
EGFR	CEBPB
IGF1R	SOCS3
SOCS3	REL
IGF1R	ESR1
ESR1	SP1
TP53	CREB1
ESR1	EP300
EP300	USF2
IGF1R	APP
APP	MYC
MYC	RUNX1
IGF1R	ARRB2
ARRB2	HDAC2
HDAC2	RUNX1T1
APP	MAPK8
MAPK8	CEBPA
SOCS3	NFKB1
ESR1	RELA
CSK	CREBBP
ESR1	HIF1A
EGFR	PML
PML	ARNT
GAA	STAT2
STAT2	EP300
EP300	PAX6
EP300	TP53
GAA	HIVEP1
HIVEP1	STAT3
EP300	JUN
EP300	CEBPB
EP300	REL
EP300	SP1
EP300	CREB1
EP300	RUNX1
GAA	GOT1
GOT1	TYMS
TYMS	UBQLN4
UBQLN4	RUNX1T1
HIVEP1	SMAD3
SMAD3	CEBPA
EP300	NFKB1
GOT1	UBE2H
UBE2H	RELA
STAT2	CREBBP
EP300	HIF1A
EP300	ARNT
RUNX1	JUP
RUNX1T1	JUP
NR3C2	ATP1A4
GLI3	WNT3
JUN	CCND3
CREB1	IL8
CREB3L3	PCNA
CREB5	PCNA
CREBBP	TIMP1
CREBBP	HKDC1
EP300	TIMP1
EP300	HKDC1
HNF1A	HNF4A
TCF7	MITF
VDR	TRPV6
NFKB1	GADD45B
NFKB1	VCAM1
PIK3CD	AKT1
RBPJ	HES5
TP53	BAX
NFYC	LOC100507714
LEF1	JUN
LEF1	MMP7
LEF1	PPARD
USF1	APOC3
USF2	APOC3
USF2	CALCA
TFAP2A	CCNB1
USF1	CCNB1
USF2	CCNB1
CREB1	CCND1
CREM	CCND1
ESR1	CCND1
POU2F1	CCND1
TFAP2A	HMOX1
USF1	IL6
CEBPE	MYB
EGR1	MYB
JUN	NFKB2
SP1	NFKB2
E2F1	POLA
CREB1	TFRC
