ADRA1B	AP2M1
AP2M1	CLTC
CLTC	EP300
EP300	FOS
EP300	JUND
AP2M1	AP1G1
AP1G1	JUN
AP2M1	ITSN1
ITSN1	SOS1
AP2M1	CRK
CRK	SOS2
EP300	CREB1
EP300	STAT3
AP2M1	BCR
BCR	TP53
ADRA1D	GOPC
GOPC	RELA
RELA	FOS
ADRA1D	ACTA2
ACTA2	TPM1
TPM1	JUND
RELA	JUN
ADRA1D	DTNA
DTNA	NUP62
NUP62	MUC1
MUC1	SOS1
DTNA	ACTB
ACTB	ESR1
ESR1	SOS2
ADRA1D	AMFR
AMFR	ATXN3
ATXN3	CREB1
RELA	STAT3
DTNA	NMT1
NMT1	TP53
KCNH2	YWHAE
YWHAE	ABL1
ABL1	FOS
KCNH2	HSP90AA1
HSP90AA1	MDM2
MDM2	JUND
ABL1	JUN
YWHAE	CBL
CBL	SOS1
YWHAE	GRAP2
GRAP2	SOS2
ABL1	CREB1
HSP90AA1	STAT3
KCNH2	HSPA8
HSPA8	TP53
JUN	CCND3
SOS1	MYC
SOS1	CCND3
SOS2	MYC
SOS2	CCND3
STAT3	MYC
STAT3	CCND3
TP53	CCNG1
JUN	MYC
TP53	MYC
FOS	NQO1
JUND	NQO1
CREB1	TFRC
JUN	TFRC
