HTR2A	CBL
CBL	GRB2
GRB2	TSG101
TSG101	NFKB2
CBL	EGFR
EGFR	STAT1
CBL	MAPK8
MAPK8	IRF3
CBL	BAG1
BAG1	RARA
GRB2	REL
REL	RELB
CBL	YWHAZ
YWHAZ	TP53
CBL	HSPA4
HSPA4	NFKB1
CBL	MAPK14
MAPK14	ATF6
CBL	HSPA8
HSPA8	POU2F1
DRD2	FLNA
FLNA	REL
REL	NFKB2
DRD2	PAWR
PAWR	STAT1
DRD2	CALM1
CALM1	HSP90AA1
HSP90AA1	IRF3
PAWR	SQSTM1
SQSTM1	RARA
FLNA	RANBP2
RANBP2	TP53
REL	NFKB1
CALM1	GTF2I
GTF2I	ATF6
FLNA	LMNA
LMNA	LMNB1
LMNB1	POU2F1
HTR1A	S1PR1
S1PR1	GNAI3
GNAI3	RAP1GAP
RAP1GAP	BTRC
BTRC	NFKB2
GNAI3	XPO1
XPO1	STAT1
S1PR1	TRIP6
TRIP6	TRAF3IP2
TRAF3IP2	IRF3
TRIP6	AJUBA
AJUBA	RARA
GNAI3	NUCB1
NUCB1	REL
TRIP6	PTK2
PTK2	TP53
GNAI3	YWHAQ
YWHAQ	E2F1
E2F1	NFKB1
S1PR1	WWP2
WWP2	UBC
UBC	ATF6
YWHAQ	LMNB1
HTR1B	MDFI
MDFI	KAT5
KAT5	BCL3
BCL3	NFKB2
KAT5	EP300
EP300	STAT1
MDFI	PIN1
PIN1	IRF3
PIN1	RARA
BCL3	RELB
KAT5	TP53
EP300	NFKB1
KAT5	SRF
SRF	ATF6
KAT5	BRCA1
BRCA1	POU2F1
HTR1D	HTR1B
HTR1D	S1PR1
HTR1E	MEOX2
MEOX2	RELA
RELA	NFKB2
HTR1E	PSMC3
PSMC3	STAT1
MEOX2	PIN1
RELA	RELB
PSMC3	TP53
HTR1E	PSMC4
PSMC4	PSMD10
PSMD10	NFKB1
PSMC3	UBC
RELA	POU2F1
HTR2C	DLG4
DLG4	HGS
HGS	TSG101
HTR2C	MPDZ
MPDZ	KIT
KIT	STAT1
HTR2C	CALM1
CALM1	AKT1
AKT1	RARA
HGS	EHMT2
EHMT2	RELB
DLG4	ERBB4
ERBB4	TP53
CALM1	DCUN1D1
DCUN1D1	NFKB1
HGS	HSPA8
HTR6	ATM
ATM	RELA
HTR6	MTOR
MTOR	STAT1
HTR6	CLTC
CLTC	EP300
EP300	IRF3
EP300	RARA
ATM	DAXX
DAXX	RELB
ATM	TP53
HTR6	COPS5
COPS5	NFKB1
ATM	MAPK14
CLTC	XRCC6
XRCC6	POU2F1
HTR7	CUL3
CUL3	NFKB1
NFKB1	NFKB2
CUL3	SMARCA4
SMARCA4	STAT1
CUL3	CUL1
CUL1	IRF3
CUL3	SNW1
SNW1	RARA
CUL3	DAXX
CUL3	YWHAZ
CUL3	GTF2I
CUL3	XRCC5
XRCC5	POU2F1
DRD1	RANBP9
RANBP9	NR3C1
NR3C1	NFKB2
RANBP9	UBE2I
UBE2I	STAT1
RANBP9	APP
APP	MAPK8
APP	PHF8
PHF8	RARA
APP	GSK3B
GSK3B	RELB
RANBP9	ESR1
ESR1	TP53
NR3C1	NFKB1
APP	SYVN1
SYVN1	ATF6
NR3C1	POU2F1
DRD5	GNA13
GNA13	MAP3K5
MAP3K5	TNFAIP3
TNFAIP3	NFKB2
GNA13	PTK2B
PTK2B	EGFR
DRD5	GNA12
GNA12	HSP90AA1
MAP3K5	EP300
MAP3K5	DAXX
HSP90AA1	TP53
GNA12	APP
APP	HSPA8
DRD3	RDX
RDX	VCP
VCP	NFKB2
DRD3	MPDZ
DRD3	GIPC1
GIPC1	MYO6
MYO6	POLR2A
POLR2A	IRF3
GIPC1	MMS19
MMS19	RARA
GIPC1	OGT
OGT	RELA
DRD3	EPB41L1
EPB41L1	COPS5
COPS5	TP53
