ADRA1B	AP2M1
AP2M1	CLTC
CLTC	EP300
EP300	RARA
AP2M1	IKZF1
IKZF1	NCOR2
NCOR2	RARB
NCOR2	RARG
EP300	ETS1
EP300	NFKB1
AP2M1	AP1G1
AP1G1	JUN
EP300	STAT3
AP2M1	APC
APC	CREBBP
AP2M1	SFPQ
SFPQ	PPARG
EP300	HIF1A
EP300	ARNT
AP2M1	HSPA8
HSPA8	RELA
EP300	CREB1
AP2M1	CSNK2B
CSNK2B	RXRA
SFPQ	NR3C1
NR3C1	RXRB
PPARG	RXRG
EP300	FOS
CSNK2B	MYC
AP2M1	BCR
BCR	TP53
HSPA8	POU2F1
AP2M1	EEF1A1
EEF1A1	GADD45G
GADD45G	PPARA
ADRA1D	DTNA
DTNA	TJP1
TJP1	ACTN4
ACTN4	RARA
ADRA1D	GOPC
GOPC	RELA
RELA	NCOR2
DTNA	ACTB
ACTB	EP300
RELA	NFKB1
RELA	JUN
RELA	STAT3
ADRA1D	SNTB2
SNTB2	ABCA1
ABCA1	CREBBP
RELA	PPARG
RELA	HIF1A
ADRA1D	AMFR
AMFR	ATXN3
ATXN3	CREB1
RELA	RXRA
ABCA1	NR1H2
NR1H2	RXRB
NR1H2	RXRG
RELA	FOS
ADRA1D	ERLIN2
ERLIN2	TUBA1A
TUBA1A	MYC
DTNA	NMT1
NMT1	TP53
RELA	POU2F1
RELA	PPARA
ADRA2A	GNAI2
GNAI2	TRIP6
TRIP6	AJUBA
AJUBA	RARA
GNAI2	ITCH
ITCH	SMAD2
SMAD2	RARB
AJUBA	RARG
ADRA2A	UCHL1
UCHL1	UBE2I
UBE2I	ETS1
UCHL1	COPS5
COPS5	NFKB1
ITCH	JUN
ADRA2A	GNB1
GNB1	MTOR
MTOR	STAT3
UCHL1	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
CTNNB1	PPARG
CTNNB1	HIF1A
UCHL1	HSP90AA1
HSP90AA1	ARNT
GNAI2	NPM1
NPM1	RELA
UCHL1	TP53
TP53	CREB1
UBE2I	RXRA
GNAI2	MDFI
MDFI	NR1H2
AJUBA	RXRG
UBE2I	FOS
UCHL1	CDK4
CDK4	MYC
UCHL1	HSPA8
UBE2I	PPARA
ADRA2B	UCHL1
UBE2I	NCOR2
ADRA2B	EIF2B1
EIF2B1	GORASP2
GORASP2	ACY3
ACY3	RARG
UBE2I	JUN
HSP90AA1	STAT3
TP53	RELA
PPARG	RXRB
ADRA2C	UCHL1
ADRA2C	EIF2B1
ADRB1	ARRB2
ARRB2	AKT1
AKT1	RARA
ARRB2	RPA1
RPA1	CCNH
CCNH	RARB
ARRB2	C1QBP
C1QBP	MRPL12
MRPL12	RARG
ARRB2	MAP2K4
MAP2K4	JUN
JUN	ETS1
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	CAPN1
CAPN1	STAT3
ARRB2	CSK
CSK	CREBBP
ARRB2	HSPA5
HSPA5	EP300
ARRB2	XRCC6
XRCC6	PPARG
CAPN1	HIF1A
ADRB1	ARRB1
ARRB1	HSP90AA1
ARRB2	PRMT5
PRMT5	RELA
AKT1	CREB1
ARRB2	MAPK1
MAPK1	RXRA
ARRB2	MLLT4
MLLT4	NR2C2
NR2C2	RXRB
RPA1	CUL1
CUL1	RXRG
ARRB2	POLR2E
POLR2E	FOS
ARRB2	HNRNPD
HNRNPD	MYC
ARRB2	IGF1R
IGF1R	TP53
XRCC6	POU2F1
ARRB2	CDK3
CDK3	PPARA
ADRB2	STAT3
STAT3	PML
PML	RARA
STAT3	NCOA1
NCOA1	RARB
ADRB2	MRPL12
STAT3	EP300
STAT3	NFKB1
STAT3	JUN
ADRB2	REL
REL	CREBBP
ADRB2	NEDD4
NEDD4	PPARG
STAT3	HIF1A
PML	ARNT
STAT3	RELA
ADRB2	MAPK14
MAPK14	CREB1
ADRB2	SRC
SRC	RXRA
ADRB2	TSG101
TSG101	NR3C1
SRC	THRB
THRB	RXRG
PML	FOS
ADRB2	VHL
VHL	MYC
TSG101	TP53
ADRB2	LMNB1
LMNB1	POU2F1
ADRB3	SRC
SRC	CREBBP
CREBBP	RARA
SRC	STAT3
NCOA1	RARG
CREBBP	ETS1
CREBBP	PPARG
CREBBP	CREB1
THRB	RXRB
CREBBP	FOS
CREBBP	MYC
SRC	TP53
RXRA	PPARA
TP53	GADD45A
CREBBP	PFKFB3
CREBBP	TFRC
EP300	PFKFB3
EP300	TFRC
HIF1A	PFKFB3
HIF1A	TFRC
ARNT	PFKFB3
ARNT	TFRC
NFKB1	HIF1A
RELA	HIF1A
STAT3	HIF1A
CREB1	MITF
CREBBP	MITF
EP300	MITF
TP53	THBS1
ETS1	CDK4
FOS	CDK4
JUN	CDK4
MYC	CDK4
PPARA	ACSL1
PPARG	FABP4
PPARG	ACSL1
PPARG	PLIN1
PPARG	ADIPOQ
RXRA	FABP4
RXRA	ACSL1
RXRA	PLIN1
RXRA	ADIPOQ
RXRB	FABP4
RXRB	ACSL1
RXRB	PLIN1
RXRB	ADIPOQ
RXRG	FABP4
RXRG	ACSL1
RXRG	PLIN1
RXRG	ADIPOQ
ETS1	CD79B
POU2F1	CD79B
RARA	CRABP2
RARB	CRABP2
RARG	CRABP2
NFKB1	GADD45A
POU2F1	GADD45A
PPARA	GADD45A
PPARG	GADD45A
RARA	GADD45A
CREB1	TFRC
ETS1	TFRC
JUN	TFRC
