HTR1B	MDFI
MDFI	NR1H2
NR1H2	FOXO3
MDFI	KAT5
KAT5	TP53
MDFI	VHL
VHL	SP1
MDFI	MYOD1
MYOD1	CREBBP
KAT5	EP300
EP300	EGR1
VHL	HIF1A
EP300	ARNT
VHL	HSP90AA1
HSP90AA1	NR3C2
HTR1D	HTR1B
HTR1A	S1PR1
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	FOXO3
S1PR1	TRIP6
TRIP6	PTK2
PTK2	TP53
S1PR1	WWP2
WWP2	SMAD3
SMAD3	SP1
TRIP6	SRC
SRC	CREBBP
SMAD3	EP300
YWHAQ	PSMA3
PSMA3	EGR1
SMAD3	HIF1A
YWHAQ	NCOA1
NCOA1	ARNT
GNAI3	OSBP
OSBP	CAND1
CAND1	NR3C2
CREB5	BDNF
RBPJ	FCER2
CTNNB1	CCND3
RELA	IL6
CREBBP	PFKL
EP300	PFKL
CREB3L3	MITF
NFKB1	FIGF
NFKB1	PGF
RFX5	HLA-DRB3
RFX5	HLA-DRB4
FOS	PLAUR
RARA	PLAU
